Condition ID,avg_growth,EX_glc__D_e,EX_ala__L_e,EX_arg__L_e,EX_asn__L_e,EX_gln__L_e,EX_gly_e,EX_his__L_e,EX_ile__L_e,EX_leu__L_e,EX_lys__L_e,EX_met__L_e,EX_phe__L_e,EX_pro__L_e,EX_ser__L_e,EX_thr__L_e,EX_trp__L_e,EX_tyr__L_e,EX_val__L_e,EX_thm_e,EX_pydxn_e
Cond00064,1.2180844659166667,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00065,1.0770844820833332,2.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00066,1.230349774,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00067,1.123206417,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00068,1.3739945463333332,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00069,0.9308447277272727,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00070,1.0140167908333333,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00071,1.1493160604166668,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00072,1.15574066625,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00073,1.2627642510833332,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00074,0.9057954435833334,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00075,0.9323562095833333,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00076,1.14198082025,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00077,1.10791998725,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00078,1.1337228333333333,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00079,1.1393612215,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00080,1.26121314025,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00081,1.2067433103333334,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00082,1.18234008875,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00083,1.1743242076666667,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00084,1.146574854,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00085,1.1686232890833332,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00086,1.1632346551666666,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.01,0.02,0.001,0.002
Cond00087,1.21353402625,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.01,0.02,0.001,0.002
Cond00088,1.308527645,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.01,0.02,0.001,0.002
Cond00089,1.1525591281666667,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.01,0.02,0.001,0.002
Cond00090,1.1560813538333334,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.01,0.02,0.001,0.002
Cond00091,1.2369138624166667,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.01,0.02,0.001,0.002
Cond00092,1.2521118955,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.01,0.02,0.001,0.002
Cond00093,1.1306456505,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.01,0.02,0.001,0.002
Cond00094,1.149620189909091,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.02,0.001,0.002
Cond00095,1.26060235175,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.01,0.02,0.001,0.002
Cond00096,1.3035700945,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.01,0.02,0.001,0.002
Cond00097,1.2944732030000001,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.01,0.02,0.001,0.002
Cond00098,1.1694341229166667,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.001,0.002
Cond00099,1.1921179569166667,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.001,0.02,0.001,0.002
Cond00100,1.15249636375,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.1,0.02,0.001,0.002
Cond00101,1.2017350891666667,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.0,0.02,0.001,0.002
Cond00102,1.2295189975833332,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.001,0.002
Cond00103,1.2460666458181817,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.002,0.001,0.002
Cond00104,1.1366829386666666,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.2,0.001,0.002
Cond00105,0.7694562153333333,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,2.0,0.001,0.002
Cond00154,1.1589375200833334,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.0,0.002
Cond00155,1.1800909331666667,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.0001,0.002
Cond00156,1.1516135192499999,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.002
Cond00157,1.1851958861818181,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.1,0.002
Cond00158,1.2009860980833333,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.0
Cond00159,1.2351428649166667,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.0002
Cond00160,1.1524652474166668,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.02
Cond00161,1.18228850825,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.2
Cond00178,0.0,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00191,0.6384317288181818,0.02,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00192,0.7957855799,2.0,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00193,0.7835576184166667,20.0,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00194,0.6822250329166667,200.0,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00203,0.616848250090909,0.22,0.0,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00204,0.6457619929090909,0.22,0.02,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
