condition_id,avg_growth,EX_glc__D_e,EX_ala__L_e,EX_arg__L_e,EX_asn__L_e,EX_asp__L_e,EX_glu__L_e,EX_gln__L_e,EX_gly_e,EX_his__L_e,EX_ile__L_e,EX_leu__L_e,EX_lys__L_e,EX_met__L_e,EX_phe__L_e,EX_pro__L_e,EX_ser__L_e,EX_thr__L_e,EX_trp__L_e,EX_tyr__L_e,EX_val__L_e,EX_thm_e,EX_pydxn_e,EX_cys__L_e,EX_cl_e,EX_nh4_e,EX_so4_e,EX_pi_e,EX_k_e,EX_na1_e,EX_mg2_e,EX_ca2_e,EX_fe2_e,EX_zn2_e,EX_cu2_e,EX_mobd_e,EX_cit_e,EX_tsul_e,EX_o2_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_fe3_e,EX_mn2_e,EX_ni2_e,EX_sel_e,EX_cobalt2_e,EX_tungs_e,EX_slnt_e
cond691,0.633934052,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.142501473,0,6.652506366,0,7.02926822,7.107387967,4.362574425,4.629774764,0,9.261665866,0.051806715,0,6.522241198,0,0,6.680074669,5.343736056,3.482567351,0,0,4.527262989,0,0,8.416002914,0,0,0,2.593275467,13.7406031,17.17557162,6.085079499,0,6.918680742,0,0,7.528444976,10.67797337
cond692,0.585415258,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,6.420369633,0,6.434934847,0.910153911,6.751582809,7.764686979,5.40348826,4.517632592,0,10.27599383,2.103311857,0,0,0,12.61252448,7.72972919,6.977137662,4.499911983,0,0,7.411917597,0,12.15820134,8.576603904,0,0,11.38373792,0,0,19.22768705,0,0,8.310414664,0,0,6.126529984,12.92601421
cond693,0.554762089,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,6.420363262,0,6.434931308,0.910150902,6.751578562,7.76468344,5.403484721,4.517629761,0,10.27599029,2.103308495,0,0,0,12.61252165,7.729723528,6.977133416,4.499908797,0,0,7.411916889,0,12.15819709,8.576600365,0,0,11.38373155,0,0,19.22768421,0,0,8.310411125,0,0,6.126524322,12.92600997
cond694,0.538079267,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.647441179,0,6.329316869,1.701834332,6.517055109,4.309766144,3.901175354,2.677546926,0,10.7331574,0,0,0,0,8.895768821,7.331467755,7.526894882,3.403290696,0,0,9.43407163,0,10.93831331,8.564783558,0,0,10.14593959,0,0,17.01919481,16.76587701,0,7.337820306,0.854571476,0,5.71358053,9.231977686
cond695,0.609648461,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,6.419747472,0,6.434526443,0.909820269,6.751112118,7.764239646,5.403128341,4.517294616,0,10.2755741,2.102934774,0,0,0,12.61230364,7.729235142,6.976688914,4.499559142,0,0,7.411746308,0,12.15784319,8.576237969,0,0,11.38312213,0,0,19.22714911,0,0,8.309911415,0,0,6.12601541,12.92566173
cond696,0.64106935,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.64833089,0,6.330159865,1.702497723,6.517929956,4.31060914,3.901843522,2.677961877,0,10.73368613,0,0,0,0,8.895854466,7.332346849,7.527669929,3.403943293,0,0,9.434199743,0,10.93848389,0,0,0,10.14667004,0,0,17.01940857,16.76637672,0,7.338571995,0.854840353,0,5.714565087,9.232654348
cond697,0.691725982,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.142463252,0,6.652438417,0,7.029253356,7.107177041,4.362573009,4.629799891,0,9.261331074,0.051931946,0,6.522181742,0,0,6.679998934,5.343672354,3.482634593,0,0,4.5270372,0,10.30615836,8.41581393,0,0,0,2.593141692,13.74016427,17.17509031,6.084837429,0,6.918671541,0,0,7.528413124,10.67774545
cond698,0.564272152,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.142473869,0,6.652676947,0,7.029195316,7.108298913,4.362445958,4.629533049,0,9.263132438,0.051125198,0,6.522376388,0,0,6.6802679,5.34390239,3.482149392,0,0,4.528256748,0,10.30805528,8.416750357,0,0,0,2.593936557,13.74252409,17.17764407,6.086144038,0,6.918573864,0,0,7.528409585,10.67889422
cond699,0.574628177,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.315193191,0,5.790068433,0,7.650980912,3.969901111,3.750793654,3.257824704,0,8.460222334,0,0,0,0,0,8.211513758,8.289966173,5.044370927,0,1.048275009,12.03593224,0,12.1209269,7.507550567,0,0,6.740109995,0,0,15.44574678,16.25894979,0,5.932953767,0,0,5.644339845,8.525661044
cond700,0.621358991,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.143745087,0,6.657923907,0,7.028873265,7.129650563,4.360814821,4.625336472,0,9.297075942,0.036960092,0,6.52672939,0,0,6.686243191,5.349096972,3.473753054,0,0,4.551294036,0,10.34392897,8.434722945,0,0,0,2.608542116,13.78673077,17.22593762,6.110826619,0,6.917600632,0,0,7.529426701,10.70089281
cond701,0.353630053,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,6.420317255,0,6.434902996,0.910126572,6.75154388,7.764650881,5.403459948,4.517604634,0,10.27596056,2.10328036,0,0,0,12.61250608,7.729688846,6.977101564,4.499883316,0,0,7.411903441,0,12.15817302,8.576573469,0,0,11.38368767,0,0,19.22764599,0,0,8.310373612,0,0,6.126488224,12.92598449
cond702,0.598898275,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,6.420267709,0,6.434861943,0.910098259,6.751505658,7.76461266,5.403424557,4.517574906,0,10.27592164,2.103249924,0,0,0,12.61248484,7.729644962,6.977060512,4.499852527,0,0,7.411889993,0,12.15813905,8.576542325,0,0,11.38363104,0,0,19.22759362,0,0,8.310331851,0,0,6.126440801,12.92595193
cond703,0.596264137,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.647601143,0,6.329453476,1.701913783,6.517200917,4.309884347,3.901282586,2.677623192,0,10.73327206,0,0,0,0,8.895816244,7.331595868,7.527031489,3.403388727,0,0,9.434131794,0,10.93838479,8.56488619,0,0,10.1460677,0,0,17.01928541,16.76602848,0,7.337957621,0.854611113,0,5.713742618,9.232104383
cond704,0.653708616,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.319761366,0,5.79341352,0,7.654650882,3.97379227,3.75458112,3.260150198,0,8.461795077,0,0,0,0,0,8.216110244,8.293572441,5.047186576,0,1.046920624,12.03594357,0,12.12109677,7.510475218,0,0,6.743450128,0,0,15.44500075,16.25880539,0,5.936649218,0,0,5.648890324,8.527958579
cond887,0.744852515,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,9.053836577,11.44470189,7.122932076,0,9.290578291,4.975827429,4.560739342,4.306506701,0,10.68508964,0,0,0,0,0,9.569617026,10.3756804,6.282316484,0,1.700732987,14.23094079,0,15.43820016,8.753690384,0,20.67528307,7.588109411,0,0,18.97825085,19.66844581,0,7.152174339,0,0,7.002822496,10.39298765
cond888,0.743322697,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,12.93030635,8.127957359,11.3624889,0,12.02878624,11.2555353,8.695940562,7.78338436,0,15.14011793,2.249231907,0,10.47468536,0,0,12.6777643,10.69156606,6.682939157,0,0,6.997182705,0,16.3406036,13.58054005,0,22.96491526,0,3.224059567,20.36836177,25.86014837,9.757486917,0,12.26263233,0,0,13.81254867,16.71939544
cond889,0.670419006,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,9.568950981,12.22523049,7.490601465,0,9.743034951,5.236517023,4.80432624,4.511437528,0,11.24628004,0,0,0.0337559,0,0,10.06538499,10.92036407,6.60462264,0,1.961830454,15.18304348,0,16.39281698,9.199120663,0,21.80016667,7.980601527,0,0,20.21796308,21.05381303,0,7.483834848,0,0,7.388722114,10.94879378
cond890,0.817696965,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.455891408,8.391747847,7.261391506,1.020372887,8.084907234,9.320594892,6.544835046,5.527817067,0,12.15998217,2.652202016,0,0,0,14.92402077,9.082263447,8.093956523,5.620671548,0,0,8.514054455,0,14.53195758,9.980097301,0,15.75777136,13.21668856,0,0,22.82200515,0,0,9.822029546,0,0,7.149102464,15.50867066
