gem_rxn_id,gem_rxn,gem_bigg,gem_rxn_name
ILEtex,ile__L_e <=> ile__L_p,ILEtex,L-isoleucine transport via diffusion (extracellular to periplasm)
INSTtex,inost_e <=> inost_p,INSTtex,Inositol transport via diffusion (extracellular to periplasm)
INStex,ins_e <=> ins_p,INStex,Inosine transport via diffusion (extracellular to periplasm)
Ktex,k_e <=> k_p,Ktex,Potassium transport via diffusion (extracellular to periplasm)
CPGNtonex,cpgn_e + h_p --> cpgn_p + h_c,CPGNtonex,Coprogen transport via ton system (extracellular)
GLCRtex,glcr_e <=> glcr_p,GLCRtex,D-glucarate transport via diffusion (extracellular to periplasm)
GLCNtex,glcn_e <=> glcn_p,GLCNtex,D-gluconate transport via diffusion (extracellular to periplasm)
GLCURtex,glcur_e <=> glcur_p,GLCURtex,D-glucuronat transport via diffusion (extracellular to periplasm)
GLNtex,gln__L_e <=> gln__L_p,GLNtex,L-glutamine transport via diffusion (extracellular to periplasm)
O2tex,o2_e <=> o2_p,O2tex,Oxygen transport via diffusion (extracellular to periplasm)
EX_ppa_e,ppa_e --> ,EX_ppa_e,Propionate exchange
HACD2,3ohcoa_c + h_c + nadh_c <=> 3hhcoa_c + nad_c,HACD2,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)
OCTAtex,octa_e <=> octa_p,OCTAtex,Octanoate transport via diffusion (extracellular to periplasm)
D_LACtex,lac__D_e <=> lac__D_p,D_LACtex,D-lactate transport via diffusion (extracellular to periplasm)
NTD8pp,dgmp_p + h2o_p --> dgsn_p + pi_p,NTD8pp,5'-nucleotidase (dGMP)
ORNtex,orn_e <=> orn_p,ORNtex,Ornithine transport via diffusion (extracellular to periplasm)
FRULYStex,frulys_e <=> frulys_p,FRULYStex,Fructoselysine transporter via diffusion (extracellular)
MALTtexi,malt_e --> malt_p,MALTtexi,MaltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible
ECOAH5,3hddcoa_c <=> dd2coa_c + h2o_c,ECOAH5,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,DHFS,Dihydrofolate synthase
CITt7pp,cit_p + succ_c --> cit_c + succ_p,CITt7pp,Citrate transport via succinate antiport (periplasm)
CRNt7pp,crn_p + gbbtn_c --> crn_c + gbbtn_p,CRNt7pp,Carnitine/butyrobetaine antiporter (periplasm)
EX_ni2_e,ni2_e <=> ,EX_ni2_e,Ni2+ exchange
GLCtex_copy1,glc__D_e --> glc__D_p,GLCtex,Glucose transport via diffusion (extracellular to periplasm)
EX_no_e,no_e --> ,EX_no_e,Nitric oxide exchange
CHLabcpp,atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c,CHLabcpp,Choline transport via ABC system (periplasm)
DGSNt2pp,dgsn_p + h_p --> dgsn_c + h_c,DGSNt2pp,Deoxyguanosine transport in via proton symport (periplasm)
FE3DCITtonex,fe3dcit_e + h_p --> fe3dcit_p + h_c,FE3DCITtonex,Ferric-dicitrate transport via ton system (extracellular)
DINSt2pp,din_p + h_p --> din_c + h_c,DINSt2pp,Deoxyinosine transport in via proton symport (periplasm)
DURIt2pp,duri_p + h_p --> duri_c + h_c,DURIt2pp,Deoxyuridine transport in via proton symport (periplasm)
FE2abcpp,atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c,FE2abcpp,Iron (II) transport via ABC system (periplasm)
FRUptspp,fru_p + pep_c --> f1p_c + pyr_c,FRUptspp,D-fructose transport via PEP:Pyr PTS (periplasm)
FUCtpp,fuc__L_p + h_p <=> fuc__L_c + h_c,FUCtpp,L-fucose transport via proton symport (periplasm)
EX_fad_e,fad_e --> ,EX_fad_e,Exchange of Flavin adenine dinucleotide oxidized
GALCTt2rpp,galct__D_p + h_p <=> galct__D_c + h_c,GALCTt2rpp,"D-galactarte transport via proton symport, reversible (periplasm)"
GALt2pp,gal_p + h_p --> gal_c + h_c,GALt2pp,D-galactose transport in via proton symport (periplasm)
ASPtex,asp__L_e <=> asp__L_p,ASPtex,L-aspartate transport via diffusion (extracellular to periplasm)
ABUTt2pp,4abut_p + h_p --> 4abut_c + h_c,ABUTt2pp,4-aminobutyrate transport in via proton symport (periplasm)
FUMt2_2pp,fum_p + 2.0 h_p --> fum_c + 2.0 h_c,FUMt2_2pp,Fumarate transport via proton symport (2 H) (periplasm)
FUMt2_3pp,fum_p + 3.0 h_p --> fum_c + 3.0 h_c,FUMt2_3pp,Fumarate transport via proton symport (3 H) (periplasm)
PHEtex,phe__L_e <=> phe__L_p,PHEtex,L-phenylalanine transport via diffusion (extracellular to periplasm)
FEENTERtonex,feenter_e + h_p --> feenter_p + h_c,FEENTERtonex,Fe-enterobactin transport via ton system (extracellular)
CSNt2pp,csn_p + h_p --> csn_c + h_c,CSNt2pp,Cytosine transport in via proton symport (periplasm)
CYNTt2pp,cynt_p + h_p --> cynt_c + h_c,CYNTt2pp,Cyanate transport via proton symport (periplasm)
CYSabcpp,atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c,CYSabcpp,L-cysteine uptake via ABC system (periplasm)
SBTptspp,pep_c + sbt__D_p --> pyr_c + sbt6p_c,SBTptspp,D-sorbitol transport via PEP:Pyr PTS (periplasm)
PItex,pi_e <=> pi_p,PItex,Phosphate transport via diffusion (extracellular to periplasm)
TREHpp,h2o_p + tre_p --> 2.0 glc__D_p,TREHpp,"Alpha,alpha-trehalase (periplasm)"
CYTBDpp,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c,CYTBDpp,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)
CYTDt2pp_copy1,cytd_p + h_p --> cytd_c + h_c,CYTDt2pp,Cytidine transport in via proton symport (periplasm)
CYTDt2pp_copy2,cytd_p + h_p <=> cytd_c + h_c,CYTDt2pp,Cytidine transport in via proton symport (periplasm)
DADNt2pp,dad_2_p + h_p --> dad_2_c + h_c,DADNt2pp,Deoxyadenosine transport in via proton symport (periplasm)
DCYTt2pp,dcyt_p + h_p --> dcyt_c + h_c,DCYTt2pp,Deoxycytidine transport in via proton symport (periplasm)
CYTBD2pp,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_p + mqn8_c,CYTBD2pp,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm)
ACGAMK,acgam_c + atp_c --> acgam6p_c + adp_c + h_c,ACGAMK,N-acetylglucosamine kinase
ACALDtpp,acald_p <=> acald_c,ACALDtpp,Acetaldehyde reversible transport (periplasm)
ACt2rpp,ac_p + h_p <=> ac_c + h_c,ACt2rpp,Acetate reversible transport via proton symport (periplasm)
DDGLCNt2rpp,2ddglcn_p + h_p <=> 2ddglcn_c + h_c,DDGLCNt2rpp,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)"
RMNtex,rmn_e <=> rmn_p,RMNtex,L-rhamnose transport via diffusion (extracellular to periplasm)
EX_meoh_e,meoh_e --> ,EX_meoh_e,Methanol exchange
EX_fe3dcit_e,fe3dcit_e --> ,EX_fe3dcit_e,Fe(III)dicitrate exchange
EX_fe3hox_e,fe3hox_e --> ,EX_fe3hox_e,Fe(III)hydroxamate exchange
EX_fecrm_e,fecrm_e --> ,EX_fecrm_e,Ferrichrome exchange
EX_feenter_e,feenter_e --> ,EX_feenter_e,Fe-enterobactin exchange
EX_feoxam_e,feoxam_e --> ,EX_feoxam_e,Ferroxamine exchange
MALTTRtexi,malttr_e --> malttr_p,MALTTRtexi,Maltotriose transport via diffusion (extracellular to periplasm) irreversible
MALTTTRtexi,maltttr_e --> maltttr_p,MALTTTRtexi,MaltotetraoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible
MALTPTtexi,maltpt_e --> maltpt_p,MALTPTtexi,MaltopentaoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible
METS,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c,METS,Methionine synthase
ASPO3,asp__L_c + q8_c --> h_c + iasp_c + q8h2_c,ASPO3,L-aspartate oxidase
ASPO5,asp__L_c + fum_c --> h_c + iasp_c + succ_c,ASPO5,L-aspartate oxidase
ASPO4,asp__L_c + mqn8_c --> h_c + iasp_c + mql8_c,ASPO4,L-aspartate oxidase
EX_3amp_e,3amp_e --> ,EX_3amp_e,3'-AMP exchange
EX_3gmp_e,3gmp_e --> ,EX_3gmp_e,3'-GMP exchange
EX_3ump_e,3ump_e --> ,EX_3ump_e,3'-UMP exchange
ASPO6,asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,ASPO6,L-aspartate oxidase
EX_cu2_e,cu2_e <=> ,EX_cu2_e,Cu2+ exchange
LCTStex,lcts_e <=> lcts_p,LCTStex,Lactose transport via diffusion (extracellular to periplasm)
LEUtex,leu__L_e <=> leu__L_p,LEUtex,L-leucine transport via diffusion (extracellular to periplasm)
LYStex,lys__L_e <=> lys__L_p,LYStex,L-lysine transport via diffusion (extracellular to periplasm)
EX_glyc__R_e,glyc__R_e --> ,EX_glyc__R_e,(R)-Glycerate exchange
EX_eca4colipa_e,eca4colipa_e --> ,EX_eca4colipa_e,(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange
GLYOX3,h2o_c + mthgxl_c --> h_c + lac__D_c,GLYOX3,Glyoxalase III
FDMO3,ethso3_c + fmnh2_c + o2_c --> acald_c + fmn_c + h2o_c + h_c + so3_c,FDMO3,FMNH2-dependent monooxygenase (ethanesulfonate)
LYXtex,lyx__L_e <=> lyx__L_p,LYXtex,L-Lyxose transport via diffusion (extracellular to periplasm)
MANtex,man_e <=> man_p,MANtex,D-mannose transport via diffusion (extracellular to periplasm)
MAN6Ptex,man6p_e <=> man6p_p,MAN6Ptex,Mannose 6-phosphate transport via diffusion (extracellular to periplasm)
FDMO4,butso3_c + fmnh2_c + o2_c --> btal_c + fmn_c + h2o_c + h_c + so3_c,FDMO4,FMNH2-dependent monooxygenase (butanesulfonate)
CYSabc2pp,atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c,CYSabc2pp,L-cysteine export via ABC system (cytoplasm to periplasm)
BUTSO3abcpp,atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c,BUTSO3abcpp,Butanesulfonate transport via ABC system (periplasm)
ETHSO3abcpp,atp_c + ethso3_p + h2o_c --> adp_c + ethso3_c + h_c + pi_c,ETHSO3abcpp,Ethanesulfonate transport via ABC system (periplasm)
MELIBtex,melib_e <=> melib_p,MELIBtex,Melibiose transport via diffusion (extracellular to periplasm)
DMSOtex,dmso_e <=> dmso_p,DMSOtex,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)
DURItex,duri_e <=> duri_p,DURItex,Deoxyuridine transport via diffusion (extracellular to periplasm)
EX_mal__D_e,mal__D_e --> ,EX_mal__D_e,D-Malate exchange
FRUtex,fru_e <=> fru_p,FRUtex,D-fructose transport via diffusion (extracellular to periplasm)
FUCtex,fuc__L_e <=> fuc__L_p,FUCtex,L-fucose transport via diffusion (extracellular to periplasm)
EX_sel_e,sel_e <=> ,EX_sel_e,Selenate exchange
EX_hg2_e,hg2_e --> ,EX_hg2_e,Hg2+ exchange
O16GLCT1,aragund_c + udpg_c --> garagund_c + h_c + udp_c,O16GLCT1,Glucosyltransferase I (LPS O16 antigen biosynthesis)
O16AP2pp,o16a2und_p + o16aund_p --> h_p + o16a3und_p + udcpdp_p,O16AP2pp,O16 antigen polymerase (periplasm)
O16AP3pp,o16a3und_p + o16aund_p --> h_p + o16a4und_p + udcpdp_p,O16AP3pp,O16 antigen polymerase (periplasm)
FUMtex,fum_e <=> fum_p,FUMtex,Fumarate transport via diffusion (extracellular to periplasm)
ACACT5r,accoa_c + dcacoa_c <=> 3oddcoa_c + coa_c,ACACT5r,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)
O16A4Lpp,colipa_p + o16a4und_p --> h_p + o16a4colipa_p + udcpdp_p,O16A4Lpp,O16 anitgen (x4) ligase (periplasm)
PRASCSi,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase
MALTATr,accoa_c + malt_c <=> acmalt_c + coa_c,MALTATr,Maltose O-acetyltransferase
DHBSH,23dhbzs_c + h2o_c --> 23dhb_c + ser__L_c,DHBSH,"2,3-dihydroxybenzoylserine hydrolase"
MALDDH,mal__D_c + nad_c --> co2_c + nadh_c + pyr_c,MALDDH,Malate decarboxylating oxidoreductase (decarboxylating)
FE2tex,fe2_e <=> fe2_p,FE2tex,Iron (II) transport via diffusion (extracellular to periplasm)
NMNtex,nmn_e <=> nmn_p,NMNtex,NMN transport via diffusion (extracellular to periplasm)
ENTERES,enter_c + 3.0 h2o_c --> 3.0 23dhbzs_c + 3.0 h_c,ENTERES,Enterochelin Esterase
NO2tex,no2_e <=> no2_p,NO2tex,Nitrite transport via diffusion (extracellular to periplasm)
TRSARr,2h3oppan_c + h_c + nadh_c <=> glyc__R_c + nad_c,TRSARr,Tartronate semialdehyde reductase
DHPS2,4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,DHPS2,Dihydropteroate synthase
FEOXAMUtex,feoxam_un_p + h_p --> feoxam_un_e + h_c,FEOXAMUtex,Ferroxamine (minus Fe3) secretion (to extracellular)
ARBTNtpp,arbtn_c + h_p --> arbtn_p + h_c,ARBTNtpp,Aerobactin secretion (to periplasm)
MTHFC,h2o_c + methf_c <=> 10fthf_c + h_c,MTHFC,Methenyltetrahydrofolate cyclohydrolase
ARBTNtex,arbtn_p + h_p --> arbtn_e + h_c,ARBTNtex,Aerobactin secretion (to extracellular)
MTHFD,mlthf_c + nadp_c <=> methf_c + nadph_c,MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP)
LYXI,lyx__L_c --> xylu__L_c,LYXI,Lyxose isomerase
BUTt2rpp,but_p + h_p <=> but_c + h_c,BUTt2rpp,"Butyrate transport via proton symport, reversible (periplasm)"
CADVtpp,15dap_c + h_p + lys__L_p --> 15dap_p + h_c + lys__L_c,CADVtpp,Lysine/Cadaverine antiporter (periplasm)
QULNS,dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,QULNS,Quinolinate synthase
23CAMPtex,23camp_e <=> 23camp_p,23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm)
23CCMPtex,23ccmp_e <=> 23ccmp_p,23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm)
23CUMPtex,23cump_e <=> 23cump_p,23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm)
23CGMPtex,23cgmp_e <=> 23cgmp_p,23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm)
3AMPtex,3amp_e <=> 3amp_p,3AMPtex,3AMP transport via diffusion (extracellular to periplasm)
3CMPtex,3cmp_e <=> 3cmp_p,3CMPtex,3CMP transport via diffusion (extracellular to periplasm)
LADGMDH,LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c,LADGMDH,L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase
ALKP,dhap_c + h2o_c --> dha_c + pi_c,ALKP,Alkaline phosphatase
GDPtex,gdp_e <=> gdp_p,GDPtex,GDP transport via diffusion (extracellular to periplasm)
EX_cobalt2_e,cobalt2_e <=> ,EX_cobalt2_e,Co2+ exchange
ALAGLUE,LalaDglu_c <=> LalaLglu_c,ALAGLUE,L-alanyl-gamma-glutamate epimerase
FEENTERtpp,enter_c + h_p --> enter_p + h_c,FEENTERtpp,Enterochelin transport (secretion)
TMAtex,tma_e <=> tma_p,TMAtex,Trimethylamine transport via diffusion (extracellular to periplasm)
EX_pheme_e,pheme_e --> ,EX_pheme_e,Protoheme exchange
TMAOtex,tmao_e <=> tmao_p,TMAOtex,Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)
TREtex,tre_e <=> tre_p,TREtex,Trehalose transport via diffusion (extracellular to periplasm)
L_LACD3,lac__L_c + mqn8_c --> mql8_c + pyr_c,L_LACD3,L-Lactate dehydrogenase (menaquinone)
FEENTERtex,enter_p + h_p --> enter_e + h_c,FEENTERtex,Enterochelin transport (secretion periplasm)
FE3HOXUtpp,fe3hox_un_p + h_p --> fe3hox_un_e + h_c,FE3HOXUtpp,Fe(III)hydroxamate unloaded secretion (extracellular)
FEOXAMUtpp,feoxam_un_c + h_p --> feoxam_un_p + h_c,FEOXAMUtpp,Ferroxamine (minus Fe3) secretion (to periplasm)
FECRMUtpp,fecrm_un_c + h_p --> fecrm_un_p + h_c,FECRMUtpp,Ferrichrome (minus Fe) secretion (to periplasm)
FE3HOXR2,2.0 fe3hox_c + fmnh2_c --> 2.0 fe2_c + 2.0 fe3hox_un_c + fmn_c + 2.0 h_c,FE3HOXR2,Fe(III)hydroxamate reductase
L_LACD2,lac__L_c + q8_c --> pyr_c + q8h2_c,L_LACD2,L-Lactate dehydrogenase (ubiquinone)
ACACT6r,accoa_c + ddcacoa_c <=> 3otdcoa_c + coa_c,ACACT6r,Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r)
TRPtex,trp__L_e <=> trp__L_p,TRPtex,L-tryptophan transport via diffusion (extracellular to periplasm)
PTRCt2pp,h_p + ptrc_p --> h_c + ptrc_c,PTRCt2pp,Putrescine transport in via proton symport
GGGABAH,gg4abut_c + h2o_c --> 4abut_c + glu__L_c,GGGABAH,Gamma-glutamyl-gamma-aminobutyric acid hydrolase
PNTOtex,pnto__R_e <=> pnto__R_p,PNTOtex,Pantothenate transport via diffusion (extracellular to periplasm)
FRULYSK,atp_c + frulys_c --> adp_c + frulysp_c + h_c,FRULYSK,Fructoselysine Kinase
FDMO6,fmnh2_c + o2_c + sulfac_c --> fmn_c + glx_c + h2o_c + h_c + so3_c,FDMO6,FMNH2-dependent monooxygenase (sulfoacetate)
TSULtex,tsul_e <=> tsul_p,TSULtex,Thiosulfate transport via diffusion (extracellular to periplasm)
TYRtex,tyr__L_e <=> tyr__L_p,TYRtex,L-tyrosine transport via diffusion (extracellular to periplasm)
URAtex,ura_e <=> ura_p,URAtex,Uracil transport via diffusion (extracellular to periplasm)
UREAtex,urea_e <=> urea_p,UREAtex,Urea transport via diffusion (extracellular to periplasm)
URItex,uri_e <=> uri_p,URItex,Uridine transport via diffusion (extracellular to periplasm)
SULFACabcpp,atp_c + h2o_c + sulfac_p --> adp_c + h_c + pi_c + sulfac_c,SULFACabcpp,Sulfoacetate transport via ABC system (periplasm)
ETHSO3tex,ethso3_e <=> ethso3_p,ETHSO3tex,Ethanesulfonate transport via diffusion (extracellular to periplasm)
BUTSO3tex,butso3_e <=> butso3_p,BUTSO3tex,Butanesulfonate transport via diffusion (extracellular to periplasm)
LIPOtex,lipoate_e <=> lipoate_p,LIPOtex,Lipoate transport via diffusion (extracellular to periplasm)
CYANSTpp,cyan_p + tsul_p --> h_p + so3_p + tcynt_p,CYANSTpp,Cyanide sulfurtransferase (periplasmic)
VALtex,val__L_e <=> val__L_p,VALtex,L-valine transport via diffusion (extracellular to periplasm)
XANtex,xan_e <=> xan_p,XANtex,Xanthine transport via diffusion (extracellular to periplasm)
MCPST,cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c,MCPST,3-mercaptopyruvate sulfurtransferase
XYLtex,xyl__D_e <=> xyl__D_p,XYLtex,D-xylose transport via diffusion (extracellular to periplasm)
PPPNtex,pppn_e <=> pppn_p,PPPNtex,3-phenylpropionate transport via diffusion (extracellular to periplasm)
ABUTtex,4abut_e <=> 4abut_p,ABUTtex,4-aminobutyrate transport via diffusion (extracellular to periplasm)
FORtppi,for_c --> for_p,FORtppi,Formate transport via diffusion (cytoplasm to periplasm)
PHEMEabcpp,atp_c + h2o_c + pheme_c --> adp_c + h_c + pheme_p + pi_c,PHEMEabcpp,Protoheme transport via ABC system (periplasm)
METSOX1abcpp,atp_c + h2o_c + metsox_S__L_p --> adp_c + h_c + metsox_S__L_c + pi_c,METSOX1abcpp,L-methionine S-oxide transport via ABC system (periplasm)
PPTtex,ppt_e <=> ppt_p,PPTtex,Phosphonate transport via diffusion (extracellular to periplasm)
GALBDtex,gal_bD_e <=> gal_bD_p,GALBDtex,Beta D-galactose transport via diffusion (extracellular to periplasm)
LIPAHT2ex,colipa_e + h_e + hdca_e --> h2o_e + hacolipa_e,LIPAHT2ex,Core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)
DATPHs,datp_c + h2o_c + h_c --> ditp_c + nh4_c,DATPHs,DATP amine hydrolysis (spontaneous)
GLCTR1,icolipa_c + udpg_c --> gicolipa_c + h_c + udp_c,GLCTR1,Glucosyltransferase I (LPS core synthesis)
LIPAabcpp,atp_c + h2o_c + lipa_c --> adp_c + h_c + lipa_p + pi_c,LIPAabcpp,Lipid A transport via ABC system (periplasm)
LIPAHTex,h_e + hdca_e + lipa_e --> h2o_e + halipa_e,LIPAHTex,Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)
LIPACabcpp,atp_c + h2o_c + lipa_cold_c --> adp_c + h_c + lipa_cold_p + pi_c,LIPACabcpp,Lipid (cold) A transport via ABC system (periplasm)
ECAP1pp,2.0 unagamuf_p --> eca2und_p + h_p + udcpdp_p,ECAP1pp,Enterobacterial common antigen polymerase (periplasm)
PTRCtex,ptrc_e <=> ptrc_p,PTRCtex,Putrescine transport via diffusion (extracellular to periplasm)
UDCPDPpp,h2o_p + udcpdp_p --> h_p + pi_p + udcpp_p,UDCPDPpp,Undecaprenyl-diphosphatase (periplasm)
GGGABADr,ggbutal_c + h2o_c + nadp_c <=> gg4abut_c + 2.0 h_c + nadph_c,GGGABADr,Gamma-glutamyl-gamma aminobutyric acid dehydrogenase
EX_mso3_e,mso3_e --> ,EX_mso3_e,Methanesulfonate exchange
EX_23camp_e,23camp_e --> ,EX_23camp_e,"2',3'-Cyclic AMP exchange"
EX_23cgmp_e,23cgmp_e --> ,EX_23cgmp_e,"2',3'-Cyclic GMP exchange"
EX_23cump_e,23cump_e --> ,EX_23cump_e,"2',3'-Cyclic UMP exchange"
ECAP2pp,eca2und_p + unagamuf_p --> eca3und_p + h_p + udcpdp_p,ECAP2pp,Enterobacterial common antigen polymerase (periplasm)
ECA4OALpp,colipa_p + eca4und_p --> eca4colipa_p + h_p + udcpdp_p,ECA4OALpp,Enterobacterial common antigen (x4) O-antigen ligase (periplasm)
FE3Ri,fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c,FE3Ri,Fe(III) reduction
FE3HOXR3,2.0 fe3hox_c + rbflvrd_c --> 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c + ribflv_c,FE3HOXR3,Fe(III)hydroxamate reductase
FEENTERR1,fadh2_c + 2.0 feenter_c --> 2.0 enter_c + fad_c + 2.0 fe2_c + 2.0 h_c,FEENTERR1,Fe-enterobactin reduction (Fe(III)-unloading)
NODOy,nadph_c + 2.0 no_c + 2.0 o2_c --> h_c + nadp_c + 2.0 no3_c,NODOy,Nitric oxide dioxygenase
PYRtex,pyr_e <=> pyr_p,PYRtex,Pyruvate transport via diffusion (extracellular to periplasm)
GALM2pp,gal_bD_p --> gal_p,GALM2pp,Aldose-1-epimerase
CU1abcpp,atp_c + cu_c + h2o_c --> adp_c + cu_p + h_c + pi_c,CU1abcpp,Copper (Cu +1) ABC transporter (periplasm)
HG2abcpp,atp_c + h2o_c + hg2_c --> adp_c + h_c + hg2_p + pi_c,HG2abcpp,Mercury (Hg+2) ABC transporter (periplasm)
FEENTERR3,2.0 feenter_c + rbflvrd_c --> 2.0 enter_c + 2.0 fe2_c + 2.0 h_c + ribflv_c,FEENTERR3,Fe-enterobactin reduction (Fe(III)-unloading)
SULFACtex,sulfac_e <=> sulfac_p,SULFACtex,Sulfoaceate transport via diffusion (extracellular to periplasm)
EX_sulfac_e,sulfac_e --> ,EX_sulfac_e,Sulfoacetate exchange
EX_butso3_e,butso3_e --> ,EX_butso3_e,Butanesulfonate exchange
GLCTR3,ggagicolipa_c + udpg_c --> gggagicolipa_c + h_c + udp_c,GLCTR3,Glucosyltransferase III (LPS core synthesis)
HEPT4,adphep_LD_c + gggagicolipa_c --> adp_c + colipa_c + h_c,HEPT4,Heptosyltransferase IV (LPS core synthesis)
EX_ethso3_e,ethso3_e --> ,EX_ethso3_e,Ethanesulfonate exchange
DSERtex,ser__D_e <=> ser__D_p,DSERtex,D-serine transport via diffusion (extracellular to periplasm)
LA4NTpp,colipa_p + uLa4n_p --> acolipa_p + udcpp_p,LA4NTpp,"4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))"
NODOx,nadh_c + 2.0 no_c + 2.0 o2_c --> h_c + nad_c + 2.0 no3_c,NODOx,Nitric oxide dioxygenase
SERtex,ser__L_e <=> ser__L_p,SERtex,L-serine transport via diffusion (extracellular to periplasm)
NOtex,no_e <=> no_p,NOtex,Nitric oxide transport via diffusion (extracellular to periplasm)
NOtpp,no_p <=> no_c,NOtpp,NO transport (diffusion)
NHFRBO,h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c,NHFRBO,NADH:flavorubredoxin oxidoreductase
N2Otpp,n2o_p <=> n2o_c,N2Otpp,Nitrious oxide transport (diffusion)
N2Otex,n2o_e <=> n2o_p,N2Otex,Nitrious oxide transport via diffusion (extracellular to periplasm)
CRNt8pp,crn__D_c + crn_p --> crn__D_p + crn_c,CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm)
CRNt2rpp,crn_p + h_p <=> crn_c + h_c,CRNt2rpp,L-carnitine outward transport (H+ antiport)
CRNDt2rpp,crn__D_p + h_p <=> crn__D_c + h_c,CRNDt2rpp,D-carnitine outward transport (H+ antiport)
CTBTt2rpp,ctbt_p + h_p <=> ctbt_c + h_c,CTBTt2rpp,Cronobetaine outward transport (H+ antiport)
42A12BOOXpp,dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p,42A12BOOXpp,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)"
TYROXDApp,h2o_p + o2_p + tym_p --> 4hoxpacd_p + h2o2_p + nh4_p,TYROXDApp,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (periplasm)
PACALDt2rpp,h_p + pacald_p <=> h_c + pacald_c,PACALDt2rpp,Phenylacetaldehyde reversible transport via proton symport (periplasm)
PEAMNtex,peamn_e <=> peamn_p,PEAMNtex,Phenethylamine transport via diffusion (extracellular to periplasm)
PACALDtex,pacald_e <=> pacald_p,PACALDtex,Phenethylacetaldehyde transport via diffusion (extracellular to periplasm)
LIPOt2pp,h_p + lipoate_p --> h_c + lipoate_c,LIPOt2pp,Lipoate transport via proton symport (periplasm)
AGM4PA,anhgm4p_c + h2o_c --> LalaDgluMdapDala_c + anhgm_c,AGM4PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase
RNDR3b,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c,RNDR3b,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin)
RNDR4b,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c,RNDR4b,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin)
ACGAL1Ptex,acgal1p_e <=> acgal1p_p,ACGAL1Ptex,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm)
ACGALtex,acgal_e <=> acgal_p,ACGALtex,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)
GLCUR1Ptex,glcur1p_e <=> glcur1p_p,GLCUR1Ptex,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm)
