gem_rxn_id,gem_rxn,gem_bigg,gem_rxn_name
ORPT,orot5p_c + ppi_c <=> orot_c + prpp_c,ORPT,Orotate phosphoribosyltransferase
RBFSa,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c,RBFSa,Riboflavin synthase
ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,ACHBS,2-aceto-2-hydroxybutanoate synthase
PFK_3,atp_c + s7p_c --> adp_c + h_c + s17bp_c,PFK_3,Phosphofructokinase (s7p)
DHAD2,23dhmp_c --> 3mop_c + h2o_c,DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)"
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,ACLS,Acetolactate synthase
TRPS2,indole_c + ser__L_c --> h2o_c + trp__L_c,TRPS2,Tryptophan synthase (indole)
PSCVT,pep_c + skm5p_c <=> 3psme_c + pi_c,PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase
G3PD5,glyc3p_c + q8_c --> dhap_c + q8h2_c,G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8)
G1PP,g1p_c + h2o_c --> glc__D_c + pi_c,G1PP,Glucose-1-phosphatase
PFL,coa_c + pyr_c --> accoa_c + for_c,PFL,Pyruvate formate lyase
EX_acgam_e,acgam_e --> ,EX_acgam_e,N-Acetyl-D-glucosamine exchange
ANS,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,ANS,Anthranilate synthase
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,FRD2,Fumarate reductase
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,FRD3,Fumarate reductase
ANPRT,anth_c + prpp_c --> ppi_c + pran_c,ANPRT,Anthranilate phosphoribosyltransferase
POX,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c,POX,Pyruvate oxidase
CHORM,chor_c --> pphn_c,CHORM,Chorismate mutase
PTAr,accoa_c + pi_c <=> actp_c + coa_c,PTAr,Phosphotransacetylase
CHORS,3psme_c --> chor_c + pi_c,CHORS,Chorismate synthase
IGPS,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,IGPS,Indole-3-glycerol-phosphate synthase
ACKr,ac_c + atp_c <=> actp_c + adp_c,ACKr,Acetate kinase
EX_cellb_e,cellb_e --> ,EX_cellb_e,Cellobiose exchange
EX_crn_e,crn_e --> ,EX_crn_e,L-Carnitine exchange
EX_hxan_e,hxan_e --> ,EX_hxan_e,Hypoxanthine exchange
EX_ile__L_e,ile__L_e --> ,EX_ile__L_e,L-Isoleucine exchange
EX_chol_e,chol_e --> ,EX_chol_e,Choline exchange
EX_fe3_e,fe3_e <=> ,EX_fe3_e,Fe3+ exchange
LEUTAi,4mop_c + glu__L_c --> akg_c + leu__L_c,LEUTAi,Leucine transaminase (irreversible)
EX_lac__L_e,lac__L_e --> ,EX_lac__L_e,L-Lactate exchange
EX_leu__L_e,leu__L_e --> ,EX_leu__L_e,L-Leucine exchange
EX_glcn_e,glcn_e --> ,EX_glcn_e,D-Gluconate exchange
EX_no3_e,no3_e --> ,EX_no3_e,Nitrate exchange
EX_h_e,h_e <=> ,EX_h_e,H+ exchange
DMATT,dmpp_c + ipdp_c --> grdp_c + ppi_c,DMATT,Dimethylallyltranstransferase
EX_orn_e,orn_e --> ,EX_orn_e,Ornithine exchange
GRTT,grdp_c + ipdp_c --> frdp_c + ppi_c,GRTT,Geranyltranstransferase
EX_gln__L_e,gln__L_e --> ,EX_gln__L_e,L-Glutamine exchange
UPP3S,hmbil_c --> h2o_c + uppg3_c,UPP3S,Uroporphyrinogen-III synthase
EX_pro__L_e,pro__L_e --> ,EX_pro__L_e,L-Proline exchange
EX_glyc_e,glyc_e --> ,EX_glyc_e,Glycerol exchange
UPPDC1,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III)
EX_man_e,man_e --> ,EX_man_e,D-Mannose exchange
TMDPP,pi_c + thymd_c <=> 2dr1p_c + thym_c,TMDPP,Thymidine phosphorylase
EX_ade_e,ade_e --> ,EX_ade_e,Adenine exchange
EX_mn2_e,mn2_e <=> ,EX_mn2_e,Mn2+ exchange
EX_4abut_e,4abut_e --> ,EX_4abut_e,4-Aminobutanoate exchange
EX_ac_e,ac_e --> ,EX_ac_e,Acetate exchange
EX_akg_e,akg_e --> ,EX_akg_e,2-Oxoglutarate exchange
EX_ala__L_e,ala__L_e --> ,EX_ala__L_e,L-Alanine exchange
EX_arg__L_e,arg__L_e --> ,EX_arg__L_e,L-Arginine exchange
EX_asp__L_e,asp__L_e --> ,EX_asp__L_e,L-Aspartate exchange
EX_pyr_e,pyr_e --> ,EX_pyr_e,Pyruvate exchange
EX_succ_e,succ_e --> ,EX_succ_e,Succinate exchange
