,Strain,MediumID,Medium,Stress,GLCptspp,PGI,PFK,FBA,TPI,GAPD,PYK,PDH,G6PDH2r,GND,RBP4E,RPI,TKT1,TALA,TKT2,CS,ICDHyr,SUCDi,FUM,MDH,PPC,ME1,ICL,MALS,ACACCT,EX_succ_e
24,BW25113,MD066,synthetic+Glu,none,100,74.0,84.0,84.0,84.0,170.0,51.0,129.0,24.0,24.0,10.0,14.0,7.0,7.0,4.0,83.0,65.0,74.0,74.0,92.0,5.0,0.0,18.0,18.0,0.0,0.0
25,BW25113,MD066,synthetic+Glu,none,100,78.0,86.0,86.0,86.0,173.0,51.0,131.0,20.0,20.0,8.0,12.0,6.0,6.0,3.0,88.0,73.0,80.0,80.0,94.0,7.0,0.0,15.0,15.0,0.0,0.0
26,BW25113,MD066,synthetic+Glu,none,100,99.0,93.0,93.0,93.0,182.0,67.0,149.0,0.0,0.0,-5.0,5.0,-1.0,-1.0,-4.0,108.0,93.0,101.0,101.0,117.0,3.0,0.0,16.0,16.0,0.0,0.0
27,BW25113,MD120,synthetic+Glu+KNO3,none,100,53.0,79.0,79.0,0.0,168.0,120.0,94.0,46.0,0.0,0.0,0.0,15.0,15.0,11.0,72.0,0.0,0.0,67.0,65.0,30.0,3.0,0.0,0.0,0.0,0.0
28,BW25113,MD066,synthetic+Glu,none,100,86.0,88.0,88.0,88.0,175.0,41.0,121.0,13.0,13.0,3.0,10.0,3.0,3.0,0.0,91.0,89.0,83.0,83.0,85.0,20.0,0.0,2.0,2.0,0.0,0.0
29,BW25113,MD066,synthetic+Glu,none,100,60.0,79.0,79.0,79.0,164.0,49.0,126.0,39.0,39.0,20.0,19.0,12.0,12.0,8.0,72.0,49.0,63.0,63.0,86.0,0.0,0.0,23.0,23.0,0.0,0.0
30,BW25113,MD066,synthetic+Glu,none,100,84.0,87.0,87.0,87.0,173.0,43.0,120.0,14.0,14.0,3.0,11.0,3.0,3.0,0.0,82.0,73.0,73.0,73.0,81.0,15.0,0.0,8.0,8.0,0.0,0.0
31,BW25113,MD066,synthetic+Glu,none,100,86.0,88.0,88.0,88.0,175.0,40.0,120.0,13.0,13.0,3.0,10.0,3.0,3.0,0.0,92.0,92.0,84.0,84.0,84.0,21.0,0.0,0.0,0.0,0.0,0.0
32,BW25113,MD066,synthetic+Glu,none,100,92.0,92.0,92.0,92.0,181.0,70.0,153.0,7.0,7.0,0.0,7.0,1.0,1.0,-1.0,111.0,94.0,105.0,105.0,122.0,0.0,0.0,17.0,17.0,0.0,0.0
33,BW25113,MD066,synthetic+Glu,none,100,78.0,86.0,86.0,86.0,173.0,50.0,130.0,21.0,21.0,8.0,12.0,6.0,6.0,3.0,93.0,82.0,85.0,85.0,96.0,10.0,0.0,11.0,11.0,0.0,0.0
34,BW25113,MD066,synthetic+Glu,none,100,47.0,75.0,75.0,75.0,161.0,46.0,132.0,52.0,52.0,29.0,23.0,16.0,16.0,13.0,73.0,43.0,64.0,64.0,87.0,0.0,7.0,30.0,30.0,0.0,0.0
35,BW25113,MD066,synthetic+Glu,none,100,85.0,87.0,87.0,87.0,173.0,46.0,137.0,14.0,14.0,3.0,10.0,3.0,3.0,0.0,83.0,59.0,74.0,74.0,85.0,12.0,14.0,24.0,24.0,0.0,0.0
36,BW25113,MD066,synthetic+Glu,none,100,73.0,83.0,83.0,83.0,169.0,45.0,123.0,25.0,25.0,11.0,14.0,7.0,7.0,4.0,80.0,67.0,71.0,71.0,85.0,10.0,0.0,13.0,13.0,0.0,0.0
37,BW25113,MD066,synthetic+Glu,none,100,87.0,89.0,89.0,89.0,178.0,48.0,130.0,11.0,11.0,3.0,9.0,3.0,3.0,0.0,102.0,100.0,95.0,95.0,97.0,17.0,0.0,2.0,2.0,0.0,0.0
38,BW25113,MD066,synthetic+Glu,none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,W3110,MD121,M9+Glu,none,100,77.5,84.0,84.0,84.0,171.2,28.9,115.7,20.8,19.2,7.1,12.1,7.1,0.0,0.0,15.4,8.6,6.8,9.8,10.4,25.6,0.3,6.8,6.8,0.0,0.0
40,BW25113,MD066,synthetic+Glu,none,100,64.0,81.0,81.0,81.0,168.0,55.0,141.0,35.0,35.0,18.0,17.0,10.0,10.0,7.0,87.0,61.0,79.0,79.0,100.0,0.0,5.0,26.0,26.0,0.0,0.0
41,W3110,MD121,M9+Glu,none,100,55.0,79.0,79.0,0.0,168.0,123.0,94.0,44.0,0.0,0.0,0.0,14.0,14.0,11.0,73.0,0.0,0.0,67.0,0.0,28.0,4.0,0.0,0.0,0.0,0.0
42,BW25113,MD066,synthetic+Glu,none,100,51.0,79.0,79.0,79.0,169.0,52.0,138.0,48.0,48.0,28.0,20.0,15.0,15.0,13.0,110.0,101.0,104.0,104.0,112.0,7.0,0.0,8.0,8.0,0.0,0.0
