Strain,MediumID,Medium,Stress,R0001,R0002,R0003,R0004,R0005,R0006,R0007,R0008,R0009,R0010,R0011,R0012,R0013,R0014,R0015,R0016,R0017,R0018,R0019,R0020,R0021,R0022,R0023,R0024,R0025,R0026,R0027,R0028,R0029,R0030,R0031,R0032,R0033,R0034,R0035,R0036,R0037,R0038,R0039,R0040,R0041,R0042,R0043,R0044,R0045,R0046,R0047,R0048,R0049,R0050,R0051,R0052,R0053,R0054,R0055,R0056,R0057,R0058,R0059,R0060,R0061,R0062,R0063,R0064,R0065,R0066,R0067,R0068,R0069,R0070,R0071,R0072,R0073,R0074,R0075,R0076,R0077,R0078,R0079,R0080,R0081,R0082,R0083,R0084,R0085,R0086,R0087,R0088,R0089,R0090,R0091,R0092,R0093,R0094,R0095,R0096,R0097,R0098,R0099,R0100,R0101,R0102,R0103,R0104,R0105,R0106,R0107,R0108,R0109,R0100,R0111,R0112,R0113,R0114,R0115,R0116,R0117,R0118,R0119,R0120
BW25113,MD066,synthetic+Glu,none,100,99,93,93,93,181,171,68,156,0,0,-5,5,-1,-1,-4,103,103,76,68,95,95,115,0,7,27,27,0,0,0,0,1,1,6,3,1,9,3,19,26,12,8,307,0.1,0.91,0.02,0.47,0,0.93,0.36,3.18,8.76,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,85,87,87,87,174,163,39,117,13,13,3,10,3,3,0,86,86,83,75,77,77,79,20,0,2,2,0,0,0,0,2,1,7,3,1,11,4,22,29,14,9,268,0.57,0.95,0,0.62,0.02,0.93,0.48,2.8,3.4,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,88,90,90,90,178,169,55,137,11,11,3,9,3,3,0,104,104,96,89,97,97,105,11,0,8,8,0,0,0,0,1,1,6,3,1,9,3,18,25,12,7,322,0.82,0.95,0,0.56,0,0.94,0.46,3.33,5.05,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,83,86,86,86,172,161,41,118,16,16,5,11,4,4,1,80,80,73,64,72,72,79,16,0,7,7,0,0,0,0,2,1,7,3,1,11,4,23,30,15,9,255,0.94,0.95,0.01,0.59,0.01,0.9,0.31,2.7,6.71,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,67,69,69,69,157,148,45,145,31,12,3,9,3,3,0,99,99,79,72,92,92,111,0,0,20,20,20,0,0,0,1,1,6,3,1,9,3,19,26,12,8,307,0.33,0.95,0.45,0.65,0.17,0.92,0.41,3.18,3.02,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG1655,MD004,MOPS+Glu(0.4%),none,100,52,0,0,0,167,153,26,104,48,48,26,22,14,14,12,27,0,27,0,0,0,17,22,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,159,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
BW25113,MD066,synthetic+Glu,none,100,56,80,80,80,170,162,43,127,42,42,24,18,13,13,11,89,89,89,83,83,83,83,17,0,0,0,0,14,0,1,1,1,5,2,1,8,3,16,21,10,6,325,0.95,0.95,0,0.34,0,0.94,0.23,13.34,14.87,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG1655,MD004,MOPS+Glu(0.4%),NADH-limitation,100,58,0,0,0,174,164,42,128,42,42,24,18,13,13,11,48,0,48,0,0,0,39,16,2,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,202,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
BW25113,MD066,synthetic+Glu,none,100,85,87,87,87,173,162,57,142,14,14,3,11,3,3,0,82,82,52,43,73,73,95,1,8,30,30,0,0,0,0,2,1,7,3,1,11,4,23,30,15,9,257,0.74,0.94,0,0.66,0,0.93,0.4,2.7,6,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,52,77,77,77,163,153,49,130,47,47,25,21,14,14,11,76,76,51,43,68,68,90,0,3,25,25,0,0,0,0,2,1,7,3,1,11,4,22,29,14,9,273,0.83,0,0,0.71,0,0.85,0.28,2.84,5.83,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
