rxn,flux
EX_23dappa_e_i,1.00E-300
EX_cd2_e_i,1.00E-300
EX_enter_e_i,1.00E-300
EX_fecrm_un_e_i,1.00E-300
EX_cgly_e_i,1.00E-300
EX_chtbs_e_i,1.00E-300
EX_gmp_e_i,1.00E-300
EX_h2o2_e_i,1.00E-300
EX_ump_e_i,1.00E-300
EX_pydam_e_i,1.00E-300
EX_frulys_e_i,1.00E-300
EX_enlipa_e_i,1.00E-300
EX_hacolipa_e_i,1.00E-300
EX_etha_e_i,1.00E-300
EX_hdca_e_i,1.00E-300
EX_glcr_e_i,1.00E-300
EX_h2o_e_i,1000
EX_ala__D_e_i,1.00E-300
EX_mnl_e_i,1.00E-300
EX_malt_e_i,1.00E-300
EX_pnto__R_e_i,1.00E-300
EX_asn__L_e_i,1.00E-300
EX_cit_e_i,1.00E-300
EX_mal__L_e_i,1.00E-300
EX_no2_e_i,1.00E-300
EX_gam_e_i,1.00E-300
EX_inost_e_i,1.00E-300
EX_mobd_e_i,1000
EX_so4_e_i,1000
EX_phe__L_e_i,1.00E-300
EX_thr__L_e_i,1.00E-300
EX_uri_e_i,1.00E-300
EX_nh4_e_i,1000
EX_ddca_e_i,1.00E-300
EX_r5p_e_i,1.00E-300
EX_glyc2p_e_i,1.00E-300
EX_halipa_e_i,1.00E-300
EX_cmp_e_i,1.00E-300
EX_malthx_e_i,1.00E-300
EX_csn_e_i,1.00E-300
EX_etoh_e_i,1.00E-300
EX_g3pe_e_i,1.00E-300
EX_pacald_e_i,1.00E-300
EX_his__L_e_i,1.00E-300
EX_k_e_i,1000
EX_na1_e_i,1000
EX_dmso_e_i,1.00E-300
EX_12ppd__S_e_i,1.00E-300
EX_pppn_e_i,1.00E-300
EX_acgam1p_e_i,1.00E-300
EX_galt_e_i,1.00E-300
EX_glcur1p_e_i,1.00E-300
EX_thrp_e_i,1.00E-300
EX_fald_e_i,1.00E-300
EX_pydxn_e_i,1.00E-300
EX_acgal_e_i,1.00E-300
EX_so2_e_i,1.00E-300
EX_dms_e_i,1.00E-300
EX_acgal1p_e_i,1.00E-300
EX_cyan_e_i,1.00E-300
EX_tyrp_e_i,1.00E-300
EX_uacgam_e_i,1.00E-300
EX_udpacgal_e_i,1.00E-300
EX_udpg_e_i,1.00E-300
EX_udpgal_e_i,1.00E-300
EX_udpglcur_e_i,1.00E-300
EX_14glucan_e_i,1.00E-300
EX_pser__L_e_i,1.00E-300
EX_xmp_e_i,1.00E-300
EX_damp_e_i,1.00E-300
EX_dimp_e_i,1.00E-300
EX_isetac_e_i,1.00E-300
EX_aso3_e_i,1.00E-300
EX_tcynt_e_i,1.00E-300
EX_fe3dhbzs_e_i,1.00E-300
EX_feoxam_un_e_i,1.00E-300
EX_g3pc_e_i,1.00E-300
EX_g3pg_e_i,1.00E-300
EX_g3pi_e_i,1.00E-300
EX_g3ps_e_i,1.00E-300
EX_peamn_e_i,1.00E-300
EX_34dhpac_e_i,1.00E-300
EX_cys__L_e_i,1.00E-300
EX_gsn_e_i,1.00E-300
EX_orot_e_i,1.00E-300
EX_manglyc_e_i,1.00E-300
EX_metsox_R__L_e_i,1.00E-300
EX_cl_e_i,1000
EX_dgmp_e_i,1.00E-300
EX_4hoxpacd_e_i,1.00E-300
EX_3hpppn_e_i,1.00E-300
EX_man6p_e_i,1.00E-300
EX_tsul_e_i,1.00E-300
EX_n2o_e_i,1.00E-300
EX_maltttr_e_i,1.00E-300
EX_alaala_e_i,1.00E-300
EX_dtmp_e_i,1.00E-300
EX_lipoate_e_i,1.00E-300
EX_pydx_e_i,1.00E-300
EX_g1p_e_i,1.00E-300
EX_o2_e_i,1000
EX_progly_e_i,1.00E-300
EX_gal_bD_e_i,1.00E-300
EX_dump_e_i,1.00E-300
EX_12ppd__R_e_i,1.00E-300
EX_o2s_e_i,1.00E-300
EX_gal1p_e_i,1.00E-300
EX_dcmp_e_i,1.00E-300
EX_23ccmp_e_i,1.00E-300
EX_3cmp_e_i,1.00E-300
EX_urate_e_i,1.00E-300
EX_skm_e_i,1.00E-300
EX_cpgn_un_e_i,1.00E-300
EX_ag_e_i,1.00E-300
EX_cys__D_e_i,1.00E-300
EX_acser_e_i,1.00E-300
EX_cu_e_i,1.00E-300
EX_arbtn_e_i,1.00E-300
EX_dopa_e_i,1.00E-300
EX_tartr__D_e_i,1.00E-300
EX_galctn__L_e_i,1.00E-300
EX_hom__L_e_i,1.00E-300
EX_tungs_e_i,1000
EX_crn__D_e_i,1.00E-300
EX_LalaDgluMdapDala_e_i,1.00E-300
EX_5dglcn_e_i,1.00E-300
EX_LalaDgluMdap_e_i,1.00E-300
EX_psclys_e_i,1.00E-300
EX_anhgm_e_i,1.00E-300
EX_ppal_e_i,1.00E-300
EX_slnt_e_i,1000
EX_LalaDglu_e_i,1.00E-300
EX_5mtr_e_i,1.00E-300
EX_LalaLglu_e_i,1.00E-300
EX_ttrcyc_e_i,1.00E-300
EX_mincyc_e_i,1.00E-300
EX_arbt_e_i,1.00E-300
EX_dxylnt_e_i,1.00E-300
EX_mththf_e_i,1.00E-300
EX_doxrbcn_e_i,1.00E-300
EX_dhps_e_i,1.00E-300
EX_cs1_e_i,1.00E-300
EX_fusa_e_i,1.00E-300
EX_mepn_e_i,1.00E-300
EX_cm_e_i,1.00E-300
EX_novbcn_e_i,1.00E-300
EX_2dglc_e_i,1.00E-300
EX_sq_e_i,1.00E-300
EX_4abzglu_e_i,1.00E-300
EX_rfamp_e_i,1.00E-300
EX_metglcur_e_i,1.00E-300
EX_quin_e_i,1.00E-300
EX_3hpp_e_i,1.00E-300
