rxn_id,exp_reaction,exp_flux,FBA_flux,abs_difference,relative_difference
ATPS4rpp,R0097_ATPS4rpp,27.660000000000004,52.381169168597246,24.721169168597243,0.8937515968368716
PGK,R0108_PGK,-0.8099999999999999,-17.072376287185556,16.262376287185557,20.077007759478835
ACt4pp,R0101_ACt4pp,6.99,0.0,6.99,0.9999999999856939
NADTRHD,R0099_NADTRHD,6.2,0.0,6.2,0.999999999983871
CYTBO3_4pp,R0097_CYTBO3_4pp,27.660000000000004,31.719681898871137,4.059681898871133,0.14677085679162893
NH4tpp,R0104_NH4tpp,5.2299999999999995,7.702836666164968,2.4728366661649686,0.47281771818693824
EX_nh4_e,R0104_EX_nh4_e,-5.2299999999999995,-7.702836666164968,2.4728366661649686,0.47281771818693824
NH4tex,R0104_NH4tex,5.2299999999999995,7.702836666164968,2.4728366661649686,0.47281771818693824
EX_o2_e,R0103_EX_o2_e,-14.49,-15.86,1.3699999999999992,0.09454796411252894
O2tpp,R0103_O2tpp,14.49,15.86,1.3699999999999992,0.09454796411252894
O2tex,R0103_O2tex,14.49,15.86,1.3699999999999992,0.09454796411252894
NADH5,R0098_NADH5,1.3199999999999998,0.0,1.3199999999999998,0.9999999999242424
EX_co2_e,R0102_EX_co2_e,16.22,17.52,1.3000000000000007,0.08014796547422849
CO2tex,R0102_CO2tex,-16.22,-17.52,1.3000000000000007,0.08014796547422849
CO2tpp,R0102_CO2tpp,-16.22,-17.52,1.3000000000000007,0.08014796547422849
FBA,R0004_FBA,8.34,7.096070598087419,1.243929401912581,0.14915220646254987
PFK,R0003_PFK,8.34,7.096070598087419,1.243929401912581,0.14915220646254987
TKT2,R0064_TKT2,-0.41,0.7997211596249123,1.2097211596249122,2.9505394129996545
GND,R0011_GND,2.45,3.6362587690175907,1.1862587690175905,0.48418725264047824
RBP4E,R0012_RBP4E,1.09,0.0,1.09,0.9999999999082568
G6PDH2r,R0010_G6PDH2r,2.55,3.6362587690175907,1.0862587690175909,0.42598383097058534
GLUDy,R0072_GLUDy,-5.0200000000000005,-6.099077402513638,1.0790774025136374,0.2149556578669605
ACONTb,R0018_ACONTb,1.21,2.1806609610692,0.9706609610691999,0.8021991413132066
ACONTa,R0018_ACONTa,1.21,2.1806609610692,0.9706609610691999,0.8021991413132066
PGI,R0002_PGI,7.3,6.363741230982409,0.9362587690175905,0.1282546258910637
RPE,R0061_RPE,2.67,1.870950191507985,0.799049808492015,0.29926959118430263
BIOMASS_Ec_iML1515_WT_75p37M,R0106_BIOMASS_Ec_iML1515_WT_75p37M,0.75,0.0,0.75,0.9999999998666667
TALA,R0066_TALA,-0.6799999999999999,0.0,0.6799999999999999,0.9999999998529412
MTHFD,R0096_MTHFD,0.06999999999999999,0.7048999766264543,0.6348999766264544,9.069999653135065
GLNS,R0073_GLNS,0.51,1.117246053841252,0.6072460538412521,1.190678536710165
MTHFC,R0095_MTHFC,0.11000000000000001,0.7048999766264543,0.5948999766264543,5.40818160077851
FUM,R0022_FUM,1.59,2.1575522691967652,0.5675522691967652,0.35695111267991825
AKGDH,R0020_AKGDH,0.85,1.4138004477441246,0.5638004477441246,0.6632946443268178
ACKr,R0071_ACKr,-6.609999999999999,-6.050776340959948,0.5592236590400512,0.08460267156302435
PTAr,R0071_PTAr,6.609999999999999,6.050776340959948,0.5592236590400512,0.08460267156302435
ACt2rpp,R0101_ACt2rpp,-6.99,-6.466009578196342,0.5239904218036582,0.07496286434852101
EX_ac_e,R0101_EX_ac_e,6.99,6.466009578196342,0.5239904218036582,0.07496286434852101
ACtex,R0101_ACtex,-6.99,-6.466009578196342,0.5239904218036582,0.07496286434852101
MDH,R0023_MDH,1.64,2.1575522691967652,0.5175522691967653,0.31558065193000445
ASPTA,R0076_ASPTA,-1.59,-2.088214801361047,0.498214801361047,0.3133426423457313
PGCD,R0079_PGCD,0.73,1.225213214456156,0.49521321445615607,0.678374266285368
PSERT,R0079_PSERT,0.73,1.225213214456156,0.49521321445615607,0.678374266285368
PSP_L,R0079_PSP_L,0.73,1.225213214456156,0.49521321445615607,0.678374266285368
GHMT2r,R0118_GHMT2r,0.35,0.7956326177843807,0.4456326177843807,1.2732360504487346
PYK,R0008_PYK,3.02,2.5811524522026783,0.4388475477973217,0.1453137575439703
RPI,R0013_RPI,-1.3599999999999999,-1.7369191216055508,0.37691912160555097,0.2771464129248797
SUCDi,R0021_SUCDi,1.3199999999999998,1.6517657684569198,0.33176576845691996,0.2513377033574138
DHAD1,R0088_DHAD1,0.3,0.6236258514335171,0.32362585143351713,1.0787528377521396
KARA1,R0088_KARA1,-0.3,-0.6236258514335171,0.32362585143351713,1.0787528377521396
ACLS,R0088_ACLS,0.3,0.6236258514335171,0.32362585143351713,1.0787528377521396
TPI,R0005_TPI,8.34,8.066835305286208,0.2731646947137918,0.032753560516848496
PPC,R0024_PPC,2.3600000000000003,2.1113234932334817,0.24867650676651865,0.10537140116778876
HSK,R0086_HSK,0.61,0.3881518474093178,0.2218481525906822,0.3636854959906781
THRS,R0086_THRS,0.61,0.3881518474093178,0.2218481525906822,0.3636854959906781
THRD,R0090_THRD,0.21000000000000002,0.0,0.21000000000000002,0.9999999995238095
SUCOAS,R0020_SUCOAS,-0.85,-1.039384007374307,0.18938400737430705,0.22280471453179598
PAPSR,R0083_PAPSR,0.16999999999999998,0.0,0.16999999999999998,0.9999999994117647
SULabcpp,R0105_SULabcpp,0.16999999999999998,0.0,0.16999999999999998,0.9999999994117647
ICDHyr,R0019_ICDHyr,2.02,2.1806609610692,0.1606609610691998,0.07953512923824074
PDH,R0009_PDH,11.2,11.041408187809859,0.1585918121901404,0.014159983231136108
ASPK,R0086_ASPK,0.61,0.7624983911185333,0.15249839111853336,0.24999736244841578
ASAD,R0086_ASAD,-0.61,-0.7624983911185333,0.15249839111853336,0.24999736244841578
SHK3Dr,R0091_SHK3Dr,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
DHQS,R0091_DHQS,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
SHKK,R0091_SHKK,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
DHQTi,R0091_DHQTi,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
PSCVT,R0091_PSCVT,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
DDPA,R0091_DDPA,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
CHORS,R0091_CHORS,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
CHRPL,R0091_CHRPL,0.13,0.0001590505644308103,0.1298409494355692,0.9987765333514733
HSDy,R0086_HSDy,-0.61,-0.4979259793470328,0.11207402065296718,0.18372790267966294
ICL,R0026_ICL,0.11000000000000001,0.0,0.11000000000000001,0.9999999990909092
MALS,R0027_MALS,0.11000000000000001,0.0,0.11000000000000001,0.9999999990909092
CHORM,R0091_CHORM,0.13,0.23064756828651642,0.10064756828651641,0.7742120631468862
EDD,R0068_EDD,0.1,0.0,0.1,0.999999999
EDA,R0069_EDA,0.1,0.0,0.1,0.999999999
PGM,R0007_PGM,-15.930000000000001,-15.8471630727294,0.08283692727060199,0.005200058209044694
ENO,R0007_ENO,15.930000000000001,15.8471630727294,0.08283692727060199,0.005200058209044694
FTHFLi,R0096_FTHFLi,0.06999999999999999,0.0,0.06999999999999999,0.9999999985714286
GAPD,R0006_GAPD,17.130000000000003,17.072376287185556,0.057623712814447,0.0033639061771226276
CS,R0017_CS,2.13,2.1806609610692,0.05066096106919993,0.023784488763765953
ALATA_L,R0078_ALATA_L,-0.37,-0.4149893121555174,0.04498931215551738,0.12159273552258948
TRPS1,R0093_TRPS1,0.04,0.0,0.04,0.9999999975
TRPS2,R0093_TRPS2,0.04,0.0,0.04,0.9999999975
BIOMASS_Ec_iML1515_core_75p37M,R0106_BIOMASS_Ec_iML1515_core_75p37M,0.75,0.7132312306314363,0.03676876936856366,0.04902502581821487
ME1,R0025_ME1,0.03,0.0,0.03,0.9999999966666666
PPCK,R0070_PPCK,0.03,0.0,0.03,0.9999999966666666
