rxn_id,reconciled_flux,original_measured_flux
NTPP1,-1.8602433962909745e-09,
NTPP2,-1.8602433962743546e-09,
NTPTP1,-8.5822151104932e-09,
NTPTP2,-1.0263236718025372e-09,
IPMD,0.09424374376199468,0.31
AIRC3,3.2170262048687665e-09,
ADSL2r,-3.200417628918257e-09,
EX_fe2_e,1.520093380961268e-07,
PUNP5,6.572634691200687e-08,
PUNP6,-1.0698910382076857e-09,
PUNP7,8.740741942402745e-08,
RNDR1,-6.558504661692573e-09,
RNDR3,-4.709359794925977e-09,
RNDR4,-5.481812478297153e-09,
TMDS,1.8779108109784747e-07,
TMDK1,7.676321778759546e-09,
PPCDC,-8.059473010583478e-09,
FTHFD,0.07702602908901482,
EX_glc__D_e,-10.000000090790104,
EDD,8.628263167267255e-07,
DHQTi,0.12695104649136757,0.13
PUNP1,-4.9756935164510034e-08,
PUNP2,1.9679989750705377e-08,
PUNP3,4.316583452443756e-08,
LYSAM,9.100475505502879e-15,
DHAD1,0.09424372550490186,0.29
IPPMIa,-0.09424374375856631,0.31
EX_alltn_e,-6.323931964937409e-09,
G3PD7,-6.888786849149291e-10,
NADH9,2.397559809622757e-09,
NADH10,8.358723892986501e-09,
MDH,1.521326191720022,1.42
FUM,2.2615912756640224,1.9899999999999998
PYDXNK,2.405683507233081e-08,
PYAM5PO,-9.272262539210558e-09,
OHPBAT,-1.40516126897923e-08,
EX_dgsn_e,-8.113057663403155e-09,
EX_arab__L_e,-8.291663649651729e-09,
EX_fru_e,-2.229400384574933e-09,
EX_gal_e,-2.2367502629913404e-09,
EX_xyl__D_e,4.710359227714408e-09,
EX_duri_e,-8.970388602241913e-09,
EX_for_e,6.400488380105953e-09,
EX_gly_e,-6.063681938237827e-09,
EX_h2_e,-2.117678205988673e-09,
EX_lys__L_e,0.10259225103430859,
EX_ser__L_e,3.0577884852799893e-09,
EX_thm_e,-5.014214483880817e-09,
EX_trp__L_e,2.31005471532227e-09,
GLUTRR,-5.7325042096112025e-09,
GLCS1,4.9863437432770545e-08,
GLCP,2.5695547967615342e-08,
EX_din_e,-8.128473119003797e-09,
EX_fmn_e,7.461679961269493e-09,
EX_gthox_e,-9.873190672674886e-09,
HEMEOS,1.6188066217124118e-11,
ADMDC,-5.966904797134877e-09,
AGMT,3.057594652637194e-08,
ARGDC,3.2671968319755627e-09,
ARGSS,0.16458490740844645,0.2
AGPR,-0.16458489634302412,
SPMS,-5.9848674473624885e-09,
G1SAT,-5.733707441367862e-09,
KDOCT2,-2.9798194187334538e-09,
OAADC,1.9330597131059425e-09,
MNNH,7.288189075609458e-09,
ALTRH,3.042356165032805e-09,
GUI1,1.5158038485943035e-08,
PGAMT,-5.2839907930404913e-08,
UAGDP,5.28466124470931e-08,
UAGCVT,2.3085961138916547e-08,
GLUR,-1.0599640324431898e-08,
UAG2E,5.008056979199856e-09,
EX_acald_e,1.3287929792738986e-08,
EX_melib_e,-6.471267465686715e-09,
MACPD,8.04433908461674e-09,
DMQMT,2.5123506513889106e-10,
ICHORS_copy1,390.3956791911638,
EX_sucr_e,3.007877264780071e-11,
EX_tre_e,-6.543165113085334e-09,
EX_zn2_e,6.583788402974872e-12,
HACD5,-7.77875643374141e-08,
DNMPPA,1.6881333472373093e-11,
HPPK2,2.677412538630234e-11,
PTPATi,-7.984748001936962e-09,
HEX7,6.279513105960688e-09,
DXPRIi,1.1623447021950876e-08,
OPHBDC,7.689951844058681e-10,
OHPHM,6.532379610940656e-10,
GHMT2r,0.07832285508305623,0.9
DHORD2,-8.092831005154209e-10,
ADK4,-6.292483446258915e-09,
INSK,1.0052158669513802e-08,
ABTA,0.9226710993547607,
SSALx,2.7400770306796665e-08,
ASPT,-9.131149850145721e-09,
SERD_L,0.16413348671885633,
THRD,-9.686632008935211e-09,
HEX4,4.41269306663964e-08,
KARA1,-0.09424372550354773,0.29
KARA2,0.05011904574014227,0.2
ACCOAC,1.5727200337169163e-07,
NADK,2.2526641088678167e-08,
ICHORS_copy2,-390.3666883369916,
SUCBZS,5.4557582981706355e-11,
DHBD,0.028990854108842584,
ICHORT,0.02899085410901152,
RBK_L1,8.356306354046913e-09,
RBP4E,3.40202410336572e-08,1.05
NTD2,4.669904468461375e-08,
NTD4,2.6322923225523464e-08,
NTD5,1.960176964235463e-07,
NTD6,-8.454785748547832e-09,
LGTHL,2.32198193956863,
PYDXPP,2.4938152881481506e-08,
PDXPP,2.1187416531968723e-08,
HACD6,-6.637904866481139e-08,
ECOAH1,3.6960433543085342e-09,
ECOAH2,2.3971712706835692e-09,
ECOAH3,-5.749528390867813e-08,
UGLT,3.420562998962453e-08,
DXPS,-1.2165754248094285e-09,
CDPMEK,1.1634948973430201e-08,
MECDPS,1.1643016854744817e-08,
DDGLK,6.516918236055568e-09,
XYLI2,-3.070990509726633,
PMANM,-3.086509011768246e-08,
ICL,1.6013755182193715e-08,
GLYCL,0.07832289852533884,0.09
CMPN,1.611763334699903e-08,
HCYSMT,-2.3659504121499103e-09,
UDPG4E,-3.4168778815963125e-08,
LACZ,2.131474612508335e-09,
TRE6PH,1.0652208512709918e-08,
XYLI1,-4.650107740634369e-09,
PPC,2.2915455891145013,2.63
ALDD4,9.806234225104361e-09,
G3PT,6.279513181303901e-09,
CINNDO,2.6872055297296697e-11,
DHPPD,6.3364594025825196e-09,
DHCIND,5.350802097738958e-11,
CITL,5.758685647446194e-08,
GOFUCR,1.4786943531292926e-11,
PYDXK,2.048325990094837e-08,
GTPCII2,-1.5106500366787111e-09,
URIC,2.3553069035044806e-07,
SADT2,0.16346360360762494,0.16999999999999998
LCARS,-3.3254477855613495e-08,
ALCD19,7.5609317634444535,
RMPA,6.75426545822786e-09,
SBTPD,2.913874978991407e-09,
PFK_2,4.3740439875467065e-09,
GLTPD,4.3597696305521e-09,
TGBPA,4.376027775874796e-09,
MANAO,-7.2771885262500805e-09,
TAGURr,-3.0298999643256917e-09,
PGLYCP,1.3155028904481431e-11,
GLXCL,-5.607232086738831e-09,
TARTD,3.3074769554498974e-09,
GLCRAL,1.0224559196400604e-08,
KAS14,4.6915141931822655e-09,
EDTXS1,-1.7145828010317864e-09,
EDTXS2,-1.7336891059005423e-09,
EDTXS3,1.2780225661941194e-10,
EDTXS4,1.0175102413752189e-10,
EX_tmao_e,-3.5023902667422986e-09,
NNDPR,-8.46952717638276e-09,
HACD4,-6.561875682418774e-08,
HACD7,-5.058541705359563e-08,
AACPS1,3.603517056398346e-08,
SDPDS,0.10259224882675519,
DMSOR1,-1.2931620644698102e-09,
DKGLCNR2y,-3.1418497585658186e-09,
2DGULRy,-4.5101900435176986e-10,
RZ5PP,3.318871245731141e-11,
NTD9,2.6459831105327233e-08,
NTD10,7.913056729867388e-08,
ADPT,4.122506569840685e-09,
ADK1,-237.32883222939446,
OCTDPS,1.0884501822432926e-09,
EX_26dap__M_e,-9.461971690871529e-09,
EX_acnam_e,-5.9778289652625724e-09,
EX_amp_e,-9.610750504188787e-09,
EX_dha_e,7.903081903238279e-09,
EX_fuc__L_e,-5.919371057665152e-09,
EX_glyald_e,7.903081849436071e-09,
AACPS2,3.6932402642554825e-08,
AACPS3,3.797964894906481e-08,
AACPS4,3.780006249950932e-08,
EX_rmn_e,-6.688459482223532e-09,
EX_ttdca_e,-2.400121169766492e-09,
AMANK,6.058052649598314e-09,
EX_glyclt_e,-4.113254065518934e-09,
EX_g6p_e,-5.639365429528078e-09,
EX_2ddglcn_e,3.828526007842137e-09,
EX_galct__D_e,-5.058012458874086e-09,
EX_idon__L_e,3.4512556103528637e-09,
EX_indole_e,0.04398962654404792,
EX_3hcinnm_e,-5.319708972136637e-09,
EX_acmana_e,8.050698708131852e-10,
EX_galur_e,3.3960576220549686e-09,
EX_but_e,1.1642696662751666e-08,
EX_cbl1_e,8.931631812439996e-09,
ACNML,6.044140581962013e-09,
CAT,4.789225609213626e-08,
SERASr,0.028990848974746995,
DMSOR2,1.2789124316413873e-09,
ACMAMUT,5.032147532791876e-09,
DDGALK,5.251914731131499e-09,
AB6PGH,1.1715593062352097e-11,
AMALT1,2.6565716541565633e-09,
MLTP2,2.7929057523061423e-08,
PACCOAL,1.000389286254724e-08,
GP4GH,2.913174209795613e-11,
ACGAMT,5.052106533530386e-09,
AADDGT,5.017398915929747e-09,
EX_gbbtn_e,1.676541876847038e-10,
EX_tma_e,3.56435194336376e-09,
GMHEPK,1.5583384377326714e-09,
EX_malttr_e,-8.012464878224588e-09,
TRE6PS,1.6165911591504526e-08,
UDCPDP,2.342238023985131e-08,
TREH,8.20131630689947e-09,
CYTK1,1.843380205293254e-07,
CYTK2,6.735554203019619e-09,
GK1,5.327040857732983e-09,
HACD1,3.5706945590826818e-09,
HACD2,2.2706590562594864e-09,
EX_hdcea_e,-3.863340362103225e-09,
ACACCT,-5.065565134726501e-09,
BUTCT,-1.8036458548263888e-09,
2DGULRx,2.8228448719557392e-09,
G1PTT,5.348779382835074e-09,
TDPGDH,5.353584734573789e-09,
UDPGALM,4.3012984228479595e-11,
TDPDRE,3.525253629601064e-10,
TDPDRR,3.579241533566342e-10,
G3PD6,2.314150311242426e-09,
ALLTN,2.41864091480368e-07,
UAPGR,2.3098247074311112e-08,
NDPK7,5.310599163363702e-09,
AOBUTDs,5.481963774675184e-09,
GLYAT,4.256899553060865e-08,
ADNUC,1.0137889315703424e-08,
GMHEPPA,1.5592872452699871e-09,
S7PI,1.5577534026615454e-09,
TRPS3,0.021994813867533082,0.04
CRNBTCT,1.3087684839506155e-10,
CRNCBCT,-1.859896041993633e-10,
CRNCDH,-1.5201889872150354e-10,
FADRx,1.4829390538616385e-09,
GTPDPK,8.181308885754524e-09,
NADN,3.060468514128254e-09,
NDPK2,4.8505754133313767e-08,
NDPK3,1.7950043302314504e-07,
NDPK4,-3.3012610426535635e-09,
FCLT,-9.17705927582468e-10,
HBZOPT,8.233512656864855e-10,
PNTK,-8.143395533853805e-09,
DPCOAK,-7.784208925434974e-09,
HETZK,1.710433330836718e-11,
KDOPS,-2.9629561836926825e-09,
KDOPP,-2.9679140761659938e-09,
AST,0.16458490055712652,
SGDS,0.16458490055891067,
CYNTAH,3.7010704938665365e-09,
GSPMDA,2.2558478298396578e-08,
GSPMDS,2.2559573861455176e-08,
GUAD,4.964341244750847e-08,
TMAOR1,-1.2878064676966948e-09,
TMAOR2,1.2878923043094146e-09,
DGK1,6.541398664940838e-09,
DTMPK,-2.4071628971160156e-09,
NDPK1,-123.71577094691527,
TRDR,0.16346359060643845,
PGMT,8.091218236113459e-08,
FRUK,1.5032303047384012e-09,
RHCCE,1.4737663963727837e-09,
KG6PDC,8.52980746961326e-09,
X5PL3E,2.5662580284398507e-08,
DOGULNR,5.94093756491036e-11,
BETALDHx,3.5685362447626685e-09,
BETALDHy,1.1293487226890787e-08,
MLTG3,6.279513105960713e-09,
DKGLCNR1,4.743609569688975e-09,
NADTRHD,6.922476168873431,10.91
FMNRx2,1.0547826030384348e-08,
ACPS1,-1.0642772803951775e-10,
EX_nmn_e,-9.12376187051863e-09,
EX_urea_e,3.057579434703257e-08,
GMPS2,-6.64015918242519e-09,
AMPN,9.214296099761243e-09,
GSNK,1.9408771254478163e-08,
EX_f6p_e,-4.255007572865708e-09,
ADCS,-2.8535189814802938e-09,
ADCL,-2.853873734843551e-09,
DHAPT,1.3424575035010477e-09,
EX_lac__D_e,1.0441362819696008e-09,
UMPK,1.0697766844378788e-08,
DDPGALA,5.2529149543242365e-09,
DURIK1,2.0406923446764763e-07,
UPPRT,-4.958438756270525e-10,
CTPS2,-5.546080062760207e-09,
NTD1,7.619450068562132e-09,
NTD7,9.214296100078884e-09,
PAPPT3,2.3202948502205897e-08,
UAGPT3,2.3193412810714332e-08,
EX_ttdcea_e,-2.897124149366011e-09,
F6PA,-5.921362338934801,
AGMHE,1.5665056520299025e-09,
GMHEPAT,1.5586716538450031e-09,
EX_h2s_e,-9.387700432551721e-09,
EX_gthrd_e,-9.752131607562655e-09,
IDOND,-2.6321503022398423e-08,
IDOND2,2.7400771821448924e-08,
GLYCLTDx,3.970531483883834e-08,
HPYRRy,2.7400771819351426e-08,
ACODA,0.16458489634400505,
ADA,-9.146674693197177e-09,
DADA,-9.146674693197177e-09,
ADD,-9.146674693197177e-09,
ADSS,0.05809389074580588,
AGDC,7.931991588267676e-08,
ASNN,-3.069381014984061e-09,
ASNS2,0.16068749056015308,0.16
ASPCT,-7.564710441128795e-09,
DMPPS,5.820464711387994e-09,
MCOATA,1.555317060094841e-07,
IPDPS,5.820464711388026e-09,
DAPE,0.10259224882933601,0.22999999999999998
DHDPRy,0.10259224882495954,0.22999999999999998
HSK,0.05011899222418879,0.37
SDPTA,-0.10259224882417368,0.22999999999999998
THRS,0.05011899222877504,0.37
HSST,0.08124843684500462,0.11000000000000001
PPNDH,0.03622908294158092,0.13
DDPA,0.12695103942207814,0.13
NMNDA,5.578487222859798e-09,
NNAM,2.5954954076883503e-09,
P5CD,0.14917152907375553,
SPMDAT1,1.6120882739465763e-11,
SPMDAT2,1.612088273946569e-11,
TDPADGAT,5.011699254296647e-09,
MALS,2.771782156981902e-07,
TRE6PP,8.201236390143745e-09,
EX_met__D_e,2.903494289269612e-11,
EX_tartr__L_e,-3.2620159501654136e-09,
EX_taur_e,-9.682368103038688e-09,
EX_maltpt_e,-8.756804739923911e-09,
EX_glcur_e,7.91368156439758e-09,
ADPRDP,3.0709479205575543e-09,
ARAI,8.340141127481414e-09,
M1PD,2.913874978991405e-09,
G3PD2,1.63956949225721,
GALS3,6.517300307298771e-09,
FCI,5.966928922852362e-09,
FCLK,5.98278761187037e-09,
FCLPA,5.98427936079625e-09,
ACCOAL,434.23838518163575,
GALUi,1.7650381405947328e-08,
U23GAAT,-3.4505249672456397e-09,
UAAGDS,1.0616038642604212e-08,
UAMAS,1.0584765858295444e-08,
UAMAGS,1.059991881608237e-08,
UGLYCH,2.0421209152696825e-07,
OP4ENH,1.4953560162605148e-08,
HOPNTAL,1.4953826078481917e-08,
3HPPPNH,3.169134967490242e-09,
AKGDH,1.1162423900899325,1.3800000000000001
HPYRRx,333.37706464552,
GLYCDx,5.921362329353045,
ASP1DC,-8.666257271113613e-09,
UGMDDS,2.318061316737384e-08,
UHGADA,-3.4636757182319694e-09,
UAGAAT,-3.4824481513691414e-09,
ATPPRT,0.058094030603237076,0.06
HISTD,0.05809403065162022,0.06
IGPDH,0.05809403064795185,0.06
PRPPS,-370.41134717659565,
PRATPP,0.058094030615543815,
PRMICI,0.05809403063613782,0.06
SERAT,0.16866616097089532,0.16999999999999998
CYSS,0.1686660170856186,0.16999999999999998
BPNT,0.1634636035346167,
PAPSR,0.1634635986681214,0.16999999999999998
ASPK,0.23395966812792474,0.37
ASAD,-0.2339596681292142,0.37
DAPDC,0.10259228029853094,0.22999999999999998
EX_mmet_e,9.62025786566545e-09,
METAT,-7.926816370077365e-09,
ASCBPL,8.433168377280559e-09,
ACBIPGT,2.2496722792472257e-11,
ADOCBLS,3.05728232641251e-11,
ADOCBIK,1.3219048989299114e-11,
TMPK,2.2564054254980095e-08,
HPPPNDO,9.51818102179417e-09,
DHCINDO,5.42891990886643e-09,
HKNDDH,9.520520117786705e-09,
HKNTDH,5.43146657976013e-09,
GLYCK2,0.13119035022823264,
ENTCS,0.009663616327954991,
SULR,0.16346367191723649,0.16999999999999998
MANPGH,6.163926376478371e-09,
URDGLYCD,3.765775827759762e-08,
CBMKr,0.1645848684683499,
AMANAPEr,5.283624789660136e-09,
ACM6PH,3.8230773826629066e-08,
NNATr,-1.1322854539682408e-09,
CYTDH,6.552225731241843e-09,
PSERT,0.666241707122305,0.8099999999999999
AIRC2,-3.225496164021853e-09,
GAPD,-0.4877760188714731,17.15
HEX1,3.0709908105814874,
GND,1.8221231303087722,2.3600000000000003
TAUDO,9.759824486538969e-09,
DM_amob_c,1.8235162803532738e-09,
ME2,4.897177163252159e-08,
ARGSL,0.16458490740963805,0.2
CBPS,-6.2849319446684466e-09,
GLU5K,0.14917150798544862,0.15
IPPS,0.09424374375856619,0.31
EX_mg2_e,1.6768437959827907e-10,
ACOATA,-3.352242106338407e-09,
MLTG2,3.80764132900196e-08,
MLTG1,4.347153217356619e-08,
AMALT3,1.6052812303734366e-08,
MLTP3,9.78796365331817e-09,
SPODM,7.36902608279242e-08,
