Reaction,Substrate partner,Direction,SMILES,BiGG Name,DB Name,Cleaned Substrate
ALATA_D2,ala__D_c,forward,C[C@@H]([NH3+])C(=O)[O-],D-Alanine,D-Alanine,ala  D
ALATA_D2,pydx5p_c,forward,Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O,Pyridoxal 5'-phosphate,pyridoxal 5'-phosphate,pydx5p
SHCHD2,dscl_c,forward,C[C@@]1(CC(=O)[O-])/C2=C/c3[nH]c(c(CCC(=O)[O-])c3CC(=O)[O-])Cc3[nH]c(c(CC(=O)[O-])c3CCC(=O)[O-])/C=C3\N/C(=C\C(=[NH+]2)[C@H]1CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-],Dihydrosirohydrochlorin,Precorrin 2,dscl
SHCHD2,nad_c,forward,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide,NAD(+),nad
CPPPGO,cpppg3_c,forward,Cc1c2[nH]c(c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(C)c1CCC(=O)[O-])C2,Coproporphyrinogen III,CoproporphyrinogenIII,cpppg3
CPPPGO,h_c,forward,[H+],H+,H(+),h
CPPPGO,o2_c,forward,O=O,O2 O2,O2,o2
GTHOr,gthox_c,forward,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],Oxidized glutathione,Oxidized glutathione,gthox
GTHOr,h_c,forward,[H+],H+,H(+),h
GTHOr,nadph_c,forward,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide phosphate - reduced,NADPH,nadph
GTHOr,gthrd_c,reverse,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],Reduced glutathione,GSH,gthrd
GTHOr,nadp_c,reverse,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide phosphate,NADP(+),nadp
DHORD5,dhor__S_c,forward,O=C1C[C@@H](C(=O)[O-])NC(=O)N1,(S)-Dihydroorotate,(S)-dihydroorotate,dhor  S
DHORD5,mqn8_c,forward,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,Menaquinone 8,menaquinone-8,mqn8
GLYCTO2,glyclt_c,forward,O=C([O-])CO,Glycolate C2H3O3,glycolate,glyclt
GLYCTO2,q8_c,forward,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,Ubiquinone-8,ubiquinone-8,q8
GLYCTO3,glyclt_c,forward,O=C([O-])CO,Glycolate C2H3O3,glycolate,glyclt
GLYCTO3,mqn8_c,forward,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,Menaquinone 8,menaquinone-8,mqn8
GLYCTO4,2dmmq8_c,forward,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)c2ccccc2C1=O,2-Demethylmenaquinone 8,2-demethylmenaquinone-8,2dmmq8
GLYCTO4,glyclt_c,forward,O=C([O-])CO,Glycolate C2H3O3,glycolate,glyclt
PFK_3,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
PFK_3,s7p_c,forward,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],Sedoheptulose 7-phosphate,Sedoheptulose7-phosphate,s7p
TRPS2,indole_c,forward,c1ccc2[nH]ccc2c1,Indole,indol,indole
TRPS2,ser__L_c,forward,[NH3+]C(CO)C(=O)[O-],L-Serine,DL-Serine,ser  L
G3PD5,glyc3p_c,forward,O=P([O-])([O-])OC[C@H](O)CO,Glycerol 3-phosphate,sn-glycerol 3-phosphate,glyc3p
G3PD5,q8_c,forward,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,Ubiquinone-8,ubiquinone-8,q8
EX_acgam_e,acgam_e,forward,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,N-Acetyl-D-glucosamine,N-acetyl-D-glucosamine,acgam
EX_cellb_e,cellb_e,forward,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Cellobiose,beta-Cellobiose,cellb
EX_chol_e,chol_e,forward,C[N+](C)(C)CCO,Choline C5H14NO,choline,chol
LEUTAi,4mop_c,forward,CC(C)CC(=O)C(=O)[O-],4-Methyl-2-oxopentanoate,4-methyl-2-oxopentanoate,4mop
LEUTAi,glu__L_c,forward,[NH3+]C(CCC(=O)[O-])C(=O)[O-],L-Glutamate,Glutamates,glu  L
SHK3Dr,3dhsk_c,forward,O=C([O-])C1=CC(=O)[C@@H](O)[C@H](O)C1,3-Dehydroshikimate,3-dehydroshikimate,3dhsk
SHK3Dr,h_c,forward,[H+],H+,H(+),h
SHK3Dr,nadph_c,forward,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide phosphate - reduced,NADPH,nadph
SHK3Dr,nadp_c,reverse,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide phosphate,NADP(+),nadp
SHK3Dr,skm_c,reverse,O=C([O-])C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,Shikimate,shikimate,skm
G5SD,glu5p_c,forward,[NH3+][C@@H](CCC(=O)OP(=O)([O-])[O-])C(=O)[O-],L-Glutamate 5-phosphate,L-glutamyl 5-phosphate,glu5p
G5SD,h_c,forward,[H+],H+,H(+),h
G5SD,nadph_c,forward,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide phosphate - reduced,NADPH,nadph
ALATA_L2,ala__L_c,forward,CC([NH3+])C(=O)[O-],L-Alanine,Alanine,ala  L
ALATA_L2,pydx5p_c,forward,Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O,Pyridoxal 5'-phosphate,pyridoxal 5'-phosphate,pydx5p
MAN6PI,man6p_c,forward,O=P([O-])([O-])OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,D-Mannose 6-phosphate,D-mannose-6-phosphate,man6p
MAN6PI,f6p_c,reverse,O=P([O-])([O-])OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,D-Fructose 6-phosphate,beta-D-Fructose 6-phosphate,f6p
APRAUR,5apru_c,forward,Nc1c(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)[nH]c(=O)[nH]c1=O,5-Amino-6-(5'-phosphoribosylamino)uracil,5-amino-6-(5-phospho-D-ribosylamino)uracil,5apru
APRAUR,h_c,forward,[H+],H+,H(+),h
APRAUR,nadph_c,forward,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide phosphate - reduced,NADPH,nadph
DB4PS,ru5p__D_c,forward,O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-],D-Ribulose 5-phosphate,D-ribulose 5-phosphate,ru5p  D
RBFK,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
RBFK,ribflv_c,forward,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,Riboflavin C17H20N4O6,riboflavin,ribflv
ACP1_FMN,fmn_c,forward,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,FMN C17H19N4O9P,FMN,fmn
ACP1_FMN,h2o_c,forward,O,H2O H2O,,h2o
RBFSb,dmlz_c,forward,Cc1nc2c(=O)[n-]c(=O)nc-2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1C,"6,7-Dimethyl-8-(1-D-ribityl)lumazine",6-7-Dimethyl-8--1-D-ribityllumazine,dmlz
EX_pi_e,pi_e,forward,O=P([O-])([O-])O,Phosphate,phosphate,pi
EX_h_e,h_e,forward,[H+],H+,H(+),h
DMATT,dmpp_c,forward,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],Dimethylallyl diphosphate,dimethylallyl diphosphate,dmpp
DMATT,ipdp_c,forward,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-],Isopentenyl diphosphate,isopentenyl diphosphate,ipdp
GRTT,grdp_c,forward,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-],Geranyl diphosphate,(2E)-geranyl diphosphate,grdp
GRTT,ipdp_c,forward,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-],Isopentenyl diphosphate,isopentenyl diphosphate,ipdp
UPP3S,hmbil_c,forward,O=C([O-])CCc1c[nH]c(Cc2[nH]c(Cc3[nH]c(Cc4[nH]c(CO)c(CC(=O)[O-])c4CCC(=O)[O-])c(CC(=O)[O-])c3CCC(=O)[O-])c(CC(=O)[O-])c2CCC(=O)[O-])c1CC(=O)[O-],Hydroxymethylbilane,hydroxymethylbilane,hmbil
UPPDC1,h_c,forward,[H+],H+,H(+),h
UPPDC1,uppg3_c,forward,O=C([O-])CCc1c2[nH]c(c1CC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1CC(=O)[O-])C2,Uroporphyrinogen III,uroporphyrinogen III,uppg3
TMDPP,pi_c,forward,O=P([O-])([O-])O,Phosphate,phosphate,pi
TMDPP,thymd_c,forward,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,Thymidine C10H14N2O5,thymidine,thymd
TMDPP,2dr1p_c,reverse,O=P([O-])([O-])OC1C[C@H](O)[C@@H](CO)O1,2-Deoxy-D-ribose 1-phosphate,DEOXY-RIBOSE-1P,2dr1p
TMDPP,thym_c,reverse,Cc1c[nH]c(=O)[nH]c1=O,Thymine C5H6N2O2,thymine,thym
EX_ade_e,ade_e,forward,Nc1ncnc2[nH]cnc12,Adenine,adenine,ade
EX_4abut_e,4abut_e,forward,[NH3+]CCCC(=O)[O-],4-Aminobutanoate,4-aminobutanoate,4abut
EX_ac_e,ac_e,forward,CC(=O)[O-],Acetate,acetate,ac
EX_akg_e,akg_e,forward,O=C([O-])CCC(=O)C(=O)[O-],2-Oxoglutarate,2-oxoglutarate,akg
EX_ala__L_e,ala__L_e,forward,CC([NH3+])C(=O)[O-],L-Alanine,Alanine,ala  L
EX_arg__L_e,arg__L_e,forward,NC(=[NH2+])NCCCC([NH3+])C(=O)[O-],L-Arginine,Amino acid(Arg-),arg  L
EX_asp__L_e,asp__L_e,forward,[NH3+]C(CC(=O)[O-])C(=O)[O-],L-Aspartate,Aspartate,asp  L
EX_cytd_e,cytd_e,forward,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,Cytidine,Cytidine,cytd
EX_dcyt_e,dcyt_e,forward,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,Deoxycytidine,2'-deoxycytidine,dcyt
EX_fum_e,fum_e,forward,O=C([O-])/C=C/C(=O)[O-],Fumarate,Fumarate,fum
EX_glu__L_e,glu__L_e,forward,[NH3+]C(CCC(=O)[O-])C(=O)[O-],L-Glutamate,Glutamates,glu  L
EX_gua_e,gua_e,forward,Nc1nc2[nH]cnc2c(=O)[nH]1,Guanine,Guanine,gua
HCO3E,co2_c,forward,O=C=O,CO2 CO2,CO2,co2
HCO3E,h2o_c,forward,O,H2O H2O,,h2o
HCO3E,h_c,reverse,[H+],H+,H(+),h
HCO3E,hco3_c,reverse,O=C([O-])O,Bicarbonate,hydrogencarbonate,hco3
IMPC,h2o_c,forward,O,H2O H2O,,h2o
IMPC,imp_c,forward,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,IMP C10H11N4O8P,IMP,imp
IMPC,fprica_c,reverse,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1NC=O,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,FAICAR,fprica
IMPD,h2o_c,forward,O,H2O H2O,,h2o
IMPD,imp_c,forward,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,IMP C10H11N4O8P,IMP,imp
IMPD,nad_c,forward,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide,NAD(+),nad
ECOAH4,3hdcoa_c,forward,CCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],(S)-3-Hydroxydecanoyl-CoA,(S)-Hydroxydecanoyl-CoA,3hdcoa
ECOAH4,dc2coa_c,reverse,CCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],Trans-Dec-2-enoyl-CoA,(2E)-Decenoyl-CoA,dc2coa
ECOAH4,h2o_c,reverse,O,H2O H2O,,h2o
GLUTRS,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
GLUTRS,glu__L_c,forward,[NH3+]C(CCC(=O)[O-])C(=O)[O-],L-Glutamate,Glutamates,glu  L
GLUTRS,trnaglu_c,forward,[*]OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,TRNA (Glu),a tRNAglu,trnaglu
TMPPP,2mahmp_c,forward,Cc1nc(N)c(COP(=O)([O-])OP(=O)([O-])[O-])c[nH+]1,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,4-Amino-2-methyl-5-diphosphomethylpyrimidine,2mahmp
TMPPP,4mpetz_c,forward,Cc1ncsc1CCOP(=O)([O-])[O-],4-Methyl-5-(2-phosphoethyl)-thiazole,4-methyl-5-(2-phosphooxyethyl)-thiazole,4mpetz
TMPPP,h_c,forward,[H+],H+,H(+),h
URIK1,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
URIK1,uri_c,forward,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Uridine,Uridine,uri
URIK2,gtp_c,forward,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1,GTP C10H12N5O14P3,GTP,gtp
URIK2,uri_c,forward,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Uridine,Uridine,uri
CYTDK1,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
CYTDK1,cytd_c,forward,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,Cytidine,Cytidine,cytd
CYTDK2,cytd_c,forward,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,Cytidine,Cytidine,cytd
CYTDK2,gtp_c,forward,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1,GTP C10H12N5O14P3,GTP,gtp
XPPT,prpp_c,forward,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O,5-Phospho-alpha-D-ribose 1-diphosphate,PRPP,prpp
XPPT,xan_c,forward,O=c1[nH]c(=O)c2nc[nH]c2[nH]1,Xanthine,xanthine,xan
HXPRT,hxan_c,forward,O=c1[nH]cnc2[nH]cnc12,Hypoxanthine,HYXN,hxan
HXPRT,prpp_c,forward,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O,5-Phospho-alpha-D-ribose 1-diphosphate,PRPP,prpp
NDPK5,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
NDPK5,dgdp_c,forward,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1,DGDP C10H12N5O10P2,dGDP,dgdp
NDPK5,adp_c,reverse,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O,ADP C10H12N5O10P2,ADP,adp
NDPK5,dgtp_c,reverse,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1,DGTP C10H12N5O13P3,dGTP,dgtp
DHORTS,dhor__S_c,forward,O=C1C[C@@H](C(=O)[O-])NC(=O)N1,(S)-Dihydroorotate,(S)-dihydroorotate,dhor  S
DHORTS,h2o_c,forward,O,H2O H2O,,h2o
DHORTS,cbasp_c,reverse,NC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-],N-Carbamoyl-L-aspartate,N-carbamoyl-L-aspartate,cbasp
DHORTS,h_c,reverse,[H+],H+,H(+),h
OMPDC,h_c,forward,[H+],H+,H(+),h
OMPDC,orot5p_c,forward,O=C([O-])c1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,Orotidine 5'-phosphate,Orotidylic acid,orot5p
CS,accoa_c,forward,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],Acetyl-CoA,Acetyl-CoA,accoa
CS,h2o_c,forward,O,H2O H2O,,h2o
CS,oaa_c,forward,O=C([O-])CC(=O)C(=O)[O-],Oxaloacetate,oxaloacetate,oaa
ICDHyr,icit_c,forward,O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-],Isocitrate,isocitrate(3-),icit
ICDHyr,nadp_c,forward,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide phosphate,NADP(+),nadp
ICDHyr,akg_c,reverse,O=C([O-])CCC(=O)C(=O)[O-],2-Oxoglutarate,2-oxoglutarate,akg
ICDHyr,co2_c,reverse,O=C=O,CO2 CO2,CO2,co2
ICDHyr,nadph_c,reverse,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide phosphate - reduced,NADPH,nadph
ACALD,acald_c,forward,CC=O,Acetaldehyde,acetaldehyde,acald
ACALD,coa_c,forward,CC(C)(CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCS,Coenzyme A,,coa
ACALD,nad_c,forward,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide,NAD(+),nad
ACALD,accoa_c,reverse,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],Acetyl-CoA,Acetyl-CoA,accoa
ACALD,h_c,reverse,[H+],H+,H(+),h
ACALD,nadh_c,reverse,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide - reduced,NADH,nadh
ACS,ac_c,forward,CC(=O)[O-],Acetate,acetate,ac
ACS,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
ACS,coa_c,forward,CC(C)(CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCS,Coenzyme A,,coa
PPA,h2o_c,forward,O,H2O H2O,,h2o
PPA,ppi_c,forward,O=P([O-])([O-])OP(=O)([O-])O,Diphosphate,diphosphate,ppi
PPCK,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
PPCK,oaa_c,forward,O=C([O-])CC(=O)C(=O)[O-],Oxaloacetate,oxaloacetate,oaa
ME1,mal__L_c,forward,O=C([O-])C[C@H](O)C(=O)[O-],L-Malate,L-Malate,mal  L
ME1,nad_c,forward,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide,NAD(+),nad
ALAR,ala__L_c,forward,CC([NH3+])C(=O)[O-],L-Alanine,Alanine,ala  L
ALAR,ala__D_c,reverse,C[C@@H]([NH3+])C(=O)[O-],D-Alanine,D-Alanine,ala  D
ALATA_L,akg_c,forward,O=C([O-])CCC(=O)C(=O)[O-],2-Oxoglutarate,2-oxoglutarate,akg
ALATA_L,ala__L_c,forward,CC([NH3+])C(=O)[O-],L-Alanine,Alanine,ala  L
ALATA_L,glu__L_c,reverse,[NH3+]C(CCC(=O)[O-])C(=O)[O-],L-Glutamate,Glutamates,glu  L
ALATA_L,pyr_c,reverse,CC(=O)C(=O)[O-],Pyruvate,pyruvate,pyr
XYLK,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
XYLK,xylu__D_c,forward,O=C(CO)[C@@H](O)[C@H](O)CO,D-Xylulose,D-Lyxulose,xylu  D
RBK,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
RBK,rib__D_c,forward,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,D-Ribose,D-Ribose,rib  D
GLYK,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
GLYK,glyc_c,forward,OCC(O)CO,Glycerol,glycerol,glyc
PPM,r1p_c,forward,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Alpha-D-Ribose 1-phosphate,Ribose 1-phosphate,r1p
PPM,r5p_c,reverse,O=P([O-])([O-])OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O,Alpha-D-Ribose 5-phosphate,alpha-D-Ribose 5-phosphate,r5p
ASPTA,akg_c,forward,O=C([O-])CCC(=O)C(=O)[O-],2-Oxoglutarate,2-oxoglutarate,akg
ASPTA,asp__L_c,forward,[NH3+]C(CC(=O)[O-])C(=O)[O-],L-Aspartate,Aspartate,asp  L
ASPTA,glu__L_c,reverse,[NH3+]C(CCC(=O)[O-])C(=O)[O-],L-Glutamate,Glutamates,glu  L
