Reaction,Substrate partner,Direction,SMILES,BiGG Name,DB Name,Cleaned Substrate
ACM6PH,acmum6p_c,forward,CC(=O)N[C@H]1C(O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O[C@H](C)C(=O)[O-],N-acetylmuramate 6-phosphate,MurNAc 6-phosphate,acmum6p
ACM6PH,h2o_c,forward,O,H2O H2O,,h2o
NNATr,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
NNATr,h_c,forward,[H+],H+,H(+),h
NNATr,nicrnt_c,forward,O=C([O-])c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1,Nicotinate D-ribonucleotide,Nicotinate ribonucleotide,nicrnt
NNATr,dnad_c,reverse,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(=O)[O-])c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,Deamino-NAD+,Deamido-NAD,dnad
NNATr,ppi_c,reverse,O=P([O-])([O-])OP(=O)([O-])O,Diphosphate,diphosphate,ppi
CYTDH,cytd_c,forward,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,Cytidine,Cytidine,cytd
CYTDH,h2o_c,forward,O,H2O H2O,,h2o
PSERT,3php_c,forward,O=C([O-])C(=O)COP(=O)([O-])[O-],3-Phosphohydroxypyruvate,3-phosphooxypyruvate,3php
PSERT,glu__L_c,forward,[NH3+]C(CCC(=O)[O-])C(=O)[O-],L-Glutamate,Glutamates,glu  L
AIRC2,air_c,forward,,5-amino-1-(5-phospho-D-ribosyl)imidazole,,air
AIRC2,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
AIRC2,hco3_c,forward,O=C([O-])O,Bicarbonate,hydrogencarbonate,hco3
GAPD,g3p_c,forward,O=CC(O)COP(=O)([O-])[O-],Glyceraldehyde 3-phosphate,DL-Glyceraldehyde 3-phosphate,g3p
GAPD,nad_c,forward,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide,NAD(+),nad
GAPD,pi_c,forward,O=P([O-])([O-])O,Phosphate,phosphate,pi
GAPD,13dpg_c,reverse,O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-],3-Phospho-D-glyceroyl phosphate,"1,3-Bisphospho-D-glycerate",13dpg
GAPD,h_c,reverse,[H+],H+,H(+),h
GAPD,nadh_c,reverse,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide - reduced,NADH,nadh
HEX1,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
HEX1,glc__D_c,forward,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-Glucose,D-Glucose,glc  D
GND,6pgc_c,forward,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],6-Phospho-D-gluconate,6-Phospho-D-gluconate,6pgc
GND,nadp_c,forward,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide phosphate,NADP(+),nadp
TAUDO,akg_c,forward,O=C([O-])CCC(=O)C(=O)[O-],2-Oxoglutarate,2-oxoglutarate,akg
TAUDO,o2_c,forward,O=O,O2 O2,O2,o2
TAUDO,taur_c,forward,[NH3+]CCS(=O)(=O)[O-],Taurine C2H7NO3S,taurine,taur
DM_amob_c,amob_c,forward,C[S+](CCC(=O)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,S-Adenosyl-4-methylthio-2-oxobutanoate,S-Adenosyl-4-methylthio-2-oxobutanoate,amob
ME2,mal__L_c,forward,O=C([O-])C[C@H](O)C(=O)[O-],L-Malate,L-Malate,mal  L
ME2,nadp_c,forward,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide phosphate,NADP(+),nadp
ARGSL,argsuc_c,forward,N=C(NCCC[C@H](N)C(=O)O)N[C@@H](CC(=O)O)C(=O)O,N(omega)-(L-Arginino)succinate,N-(L-Arginino)succinate,argsuc
ARGSL,arg__L_c,reverse,NC(=[NH2+])NCCCC([NH3+])C(=O)[O-],L-Arginine,Amino acid(Arg-),arg  L
ARGSL,fum_c,reverse,O=C([O-])/C=C/C(=O)[O-],Fumarate,Fumarate,fum
CBPS,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
CBPS,gln__L_c,forward,NC(=O)CC[C@H]([NH3+])C(=O)[O-],L-Glutamine,L-glutamine,gln  L
CBPS,h2o_c,forward,O,H2O H2O,,h2o
CBPS,hco3_c,forward,O=C([O-])O,Bicarbonate,hydrogencarbonate,hco3
GLU5K,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
GLU5K,glu__L_c,forward,[NH3+]C(CCC(=O)[O-])C(=O)[O-],L-Glutamate,Glutamates,glu  L
IPPS,3mob_c,forward,CC(C)C(=O)C(=O)[O-],3-Methyl-2-oxobutanoate,3-Methyl-2-oxobutanoate,3mob
IPPS,accoa_c,forward,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],Acetyl-CoA,Acetyl-CoA,accoa
IPPS,h2o_c,forward,O,H2O H2O,,h2o
EX_mg2_e,mg2_e,forward,[Mg+2],Magnesium,Mg(2+),mg2
ACOATA,ACP_c,forward,,Acyl carrier protein,,ACP
ACOATA,accoa_c,forward,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],Acetyl-CoA,Acetyl-CoA,accoa
