Model Name,Organism,Genome ID,Taxonomy ID
iSynCJ816,Synechocystis sp. PCC 6803,NC_000911.1,1148
iUMN146_1321,Escherichia coli UM146,CP002167.1,869729
iUMNK88_1353,Escherichia coli UMNK88,CP002729.1,696406
iUTI89_1310,Escherichia coli UTI89,CP000243.1,364106
iWFL_1372,Escherichia coli W,CP002185.1,566546
iY75_1357,Escherichia coli str. K-12 substr. W3110,NC_007779.1,316407
iYL1228,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,CP000647.1,272620
iYO844,Bacillus subtilis subsp. subtilis str. 168,AL009126.3,224308
iYS1720,,,
iYS854,Staphylococcus aureus subsp. aureus USA300_TCH1516,NC_010079.1,451516
iZ_1308,Escherichia coli O157:H7 str. EDL933,AE005174.2,155864
RECON1,Homo sapiens,GCF_000001405.33,9606
Recon3D,Homo sapiens,GCF_000001405.33,9606
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,AE006468.1,99287
