ecomics_rxn_id,ecomics_rxn,bigg_id,gem_rxn_match,dice_score,gem_rxn_id,to check,ecomics_rxn_type
R0094,R5P + FTHF + Gln + Asp + 5 ATP + 2 NAD -> His + 2 NADH + AKG + Fum + 5 ADP,na,atp_c + rib__D_c --> adp_c + h_c + r5p_c,0.375,RBK,,
R0119,Gly + THF + NAD <=> CO2 + MEETHF + NH3 + NADH (exch);Gly + THF + NAD <=> CO2 + MEETHF + NH3 + NADH (net),na,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,0.375,GLYCL,,
R0020,2-KG -> SUC + CO2,na,co2_p <=> co2_c,0.4,CO2tpp,,
R0041,OAA -> (Cell synthesis),na,tartr__L_c --> h2o_c + oaa_c,0.4,TARTD,,
R0038,PEP -> (Cell synthesis),na,2pg_c <=> h2o_c + pep_c,0.4,ENO,,
R0045,Exch. (3PG <-> PEP),na,2pg_c <=> h2o_c + pep_c,0.4,ENO,,
R0072,AKG + NADPH + NH3 -> Glu + NADP,na,icit_c + nadp_c <=> akg_c + co2_c + nadph_c,0.4,ICDHyr,,
R0035,E4P -> (Cell synthesis),na,s17bp_c <=> dhap_c + e4p_c,0.4,FBA3,,
R0069,KDPG -> GAP + Pyr,na,pyr_e <=> pyr_p,0.4,PYRtex,,
R0049,Exch. (MAL <-> OAA),na,tartr__L_c --> h2o_c + oaa_c,0.4,TARTD,,
R0107,CO2.unlabeled + CO2 -> CO2 + CO2.out,na,co2_p <=> co2_c,0.4,CO2tpp,,
R0085,LL-DAP -> Lys + CO2,na,co2_p <=> co2_c,0.4,CO2tpp,,
R0007,3PG <-> PEP,na,2pg_c <=> h2o_c + pep_c,0.4,ENO,,
R0056,OGA -> MAL + CO2 + 1.5ATP + 2 NADH,na,atp_c + oaa_c --> adp_c + co2_c + pep_c,0.4,PPCK,,
R0090,Thr + Pyr + Glu + NADPH -> Ile + CO2 + AKG + NADP + NH3,na,icit_c + nadp_c <=> akg_c + co2_c + nadph_c,0.429,ICDHyr,,
R0071,AcCoA + ADP + Pi <=> Ac + ATP (net);AcCoA + ADP + Pi <=> Ac + ATP (exch),na,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,0.429,ACCOAC,,
R0096,MEETHF + NADP -> FTHF + NADPH,na,h_c + nadph_c + uaccg_c --> nadp_c + uamr_c,0.444,UAPGR,,
