ecomics_rxn_id,ecomics_rxn,bigg_id,gem_rxn_match,dice_score,gem_rxn_id,to check,ecomics_rxn_type
R0055,O2+ 2 NADH -> ATP,na,h_c + nadh_c + o2_c + pppn_c --> cechddd_c + nad_c,0.444,PPPNDO,,
R0087,Asp + METHF + Cys + 2 NADPH + ATP + SucCoA -> Met + Pyr + 2 NADP + ADP + Pi,na,atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c,0.471,SUCOAS,,
R0083,Ser + AcCoA + SO4 + 3 ATP + 4 NADPH -> Cys + Ac + 4 NADP + 3 ADP + 3 Pi,na,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,0.471,ACCOAC,,
R0086,Asp + 2 NADPH + 2 ATP -> Thr + 2 NADP + 2 ADP + 2 Pi,na,atp_c + nad_c --> adp_c + h_c + nadp_c,0.5,NADK,,
R0046,Exch. (R5P + X5P <-> S7P + G3P),na,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,0.5,TKT1,,
R0054,NADPH -> NADH,na,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,0.5,THD2pp,,
R0060,Exch. DHAP <=> G3P,na,dhap_c <=> g3p_c,0.5,TPI,,
R0062,Exch. Ru5P <=> R5P,na,r1p_c <=> r5p_c,0.5,PPM,,
R0064,F6P <=> E4P + E-C2 (net);F6P <=> E4P + E-C2 (exch),na,g3p_c + s7p_c <=> e4p_c + f6p_c,0.5,TALA,,
R0043,CO2 -> (Evolution),na,co2_p <=> co2_c,0.5,CO2tpp,,
R0120,F6P + ATP -> 2 T3P,na,atp_c + fru_c --> adp_c + f6p_c + h_c,0.5,HEX7,,
R0078,Pyr + Glu -> Ala + AKG,na,akg_c + ala__L_c <=> glu__L_c + pyr_c,0.5,ALATA_L,,
R0079,3PG + Glu + NAD -> Ser + NADH + AKG + Pi,na,nad_c + r2hglut_c <=> akg_c + h_c + nadh_c,0.5,ARHGDx,,
R0039,PYR -> (Cell synthesis),na,pyr_e <=> pyr_p,0.5,PYRtex,,
R0036,G3P -> (Cell synthesis),na,dhap_c <=> g3p_c,0.5,TPI,,
R0074,Glu + 2 NADPH + ATP -> Pro + 2 NADP + ADP + Pi,na,atp_c + nad_c --> adp_c + h_c + nadp_c,0.5,NADK,,
R0034,R5P -> (Cell synthesis),na,r1p_c <=> r5p_c,0.5,PPM,,
